A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
A man,plan.01,on swimming,,Affirmative,A man plans on swimming the English Channel in the name of Charity . 
A man,swim.01,the English Channel,,Affirmative,A man plans on swimming the English Channel in the name of Charity . 
Next month,mark.01,the 22nd Annual Walk,,Affirmative,Next month marks the 22nd Annual Walk to End Alzheimer's ! 
Two adults and,share.01,sized bed,,Affirmative,Two adults and a toddler share a queen - sized bed . 
they,expect.01,to be here,,Affirmative,"When they arrived at the Quality Inn in Greenfield last January , they never expected to be here this long . "
That footwork,contact.01,landlords,,Affirmative,That footwork is contacting landlords who work with the home - based shelter program . 
director Robin Sherman,tell.01,that it 's,22News,Affirmative,Franklin County Housing director Robin Sherman told 22News that it 's almost impossible for the agency to have a relationship with every landlord in Franklin County . 
the agency,have.03,a relationship with,,Affirmative,Franklin County Housing director Robin Sherman told 22News that it 's almost impossible for the agency to have a relationship with every landlord in Franklin County . 
Families in,receive.01,"$ 4,000",,Affirmative,"Families in the shelter - based program receive $ 4,000 to help pay for rent , security deposits , and other costs associated with relocating to permanent housing . "
your blog,share.01,posts,,Affirmative,"Sorry , your blog can not share posts by email . "
