A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
by,lead.02,the Hawaii Republican Party ( HRP ) led by,,Affirmative,"KANEOHE , HAWAII -- Today , the Hawaii Republican Party ( HRP ) led by Pat Saiki and Miriam Hellreich , tripled down on neutrality , silence and inaction for another two years by retaining an official party platform and political strategy which is destined to keep Hawaii 's tiny minority party in the political wilderness of irrelevance through 2016 . "
the Hawaii Republican Party ( HRP ) led by,retain.01,an official party platform and,,Affirmative,"KANEOHE , HAWAII -- Today , the Hawaii Republican Party ( HRP ) led by Pat Saiki and Miriam Hellreich , tripled down on neutrality , silence and inaction for another two years by retaining an official party platform and political strategy which is destined to keep Hawaii 's tiny minority party in the political wilderness of irrelevance through 2016 . "
political strategy,keep.02,tiny minority party,in,Affirmative,"KANEOHE , HAWAII -- Today , the Hawaii Republican Party ( HRP ) led by Pat Saiki and Miriam Hellreich , tripled down on neutrality , silence and inaction for another two years by retaining an official party platform and political strategy which is destined to keep Hawaii 's tiny minority party in the political wilderness of irrelevance through 2016 . "
three people,bother.02,to show up today from each of,,Affirmative,"Not exactly a sign of political upheaval or revolution , barely more than three people bothered to show up today from each of fifty - one legislative districts from across a state with a combined population of 1.4 million residents . "
National Committeewoman Miriam Hellreich --,demand.01,that Republicans take,,Affirmative,But the real pain for real Republicans in attendance came when National Committeewoman Miriam Hellreich -- the powerful longtime party national committeewoman and paid consultant to Lingle and Aiona -- sanctimoniously demanded that Republicans take a stand . 
Republicans,take.01,a stand,,Affirmative,But the real pain for real Republicans in attendance came when National Committeewoman Miriam Hellreich -- the powerful longtime party national committeewoman and paid consultant to Lingle and Aiona -- sanctimoniously demanded that Republicans take a stand . 
real Republicans in attendance,hold.02,very true,,Affirmative,"  The old saying of do as I say , and not as I do holds very true for Ms. Hellreich . "
Democrats,inflict.01,the harmful policies,on,Affirmative,  Where is their concerted voice against the harmful policies that state and local Democrats have inflicted on our state ? 
leaders,tell.01,to do something,people,Affirmative,  How can leaders tell people to do something when they do not do it themselves ? 
barely more than three people,do.02,something,,Affirmative,  How can leaders tell people to do something when they do not do it themselves ? 
barely more than three people,do.02,their concerted voice against the harmful policies that state and local Democrats have inflicted on our state,,Affirmative,  How can leaders tell people to do something when they do not do it themselves ? 
Ms. Hellreich,attend.01,Leadership 101,,Affirmative,  It is evident that Ms. Hellreich never attended Leadership 101 . 
a rigged process,ensure.01,would again remain,,Affirmative,"All of this contrived showmanship comes on the heels of a rigged process which ensured that the disastrous , LLIFE platform initiated and defended by party leaders and their favorite liberal candidates in 2010 and 2012 would again remain the party 's empty electoral gesture during the 2014 campaign . "
by,defend.01,LLIFE platform,,Affirmative,"All of this contrived showmanship comes on the heels of a rigged process which ensured that the disastrous , LLIFE platform initiated and defended by party leaders and their favorite liberal candidates in 2010 and 2012 would again remain the party 's empty electoral gesture during the 2014 campaign . "
the members of,enunciate.01,clear positions on issues in,,Affirmative,"Whereas the members of nearly every political party on the planet , including Hawaii 's dominant Democrats , enunciate clear positions on issues in their party platforms to draw unmistakable contrasts based on the beliefs and policy positions which unite activists , the HRP 's platform leadership manipulated the platform - writing process to keep the party neutral , silent and inactive on each and every issue facing Hawaii . "
policy positions,unite.01,activists,,Affirmative,"Whereas the members of nearly every political party on the planet , including Hawaii 's dominant Democrats , enunciate clear positions on issues in their party platforms to draw unmistakable contrasts based on the beliefs and policy positions which unite activists , the HRP 's platform leadership manipulated the platform - writing process to keep the party neutral , silent and inactive on each and every issue facing Hawaii . "
platform leadership,manipulate.02,writing process,,Affirmative,"Whereas the members of nearly every political party on the planet , including Hawaii 's dominant Democrats , enunciate clear positions on issues in their party platforms to draw unmistakable contrasts based on the beliefs and policy positions which unite activists , the HRP 's platform leadership manipulated the platform - writing process to keep the party neutral , silent and inactive on each and every issue facing Hawaii . "
platform leadership,keep.02,the Party 's,,Affirmative,"Whereas the members of nearly every political party on the planet , including Hawaii 's dominant Democrats , enunciate clear positions on issues in their party platforms to draw unmistakable contrasts based on the beliefs and policy positions which unite activists , the HRP 's platform leadership manipulated the platform - writing process to keep the party neutral , silent and inactive on each and every issue facing Hawaii . "
issue facing Hawaii,face.01,Hawaii 's,,Affirmative,"Whereas the members of nearly every political party on the planet , including Hawaii 's dominant Democrats , enunciate clear positions on issues in their party platforms to draw unmistakable contrasts based on the beliefs and policy positions which unite activists , the HRP 's platform leadership manipulated the platform - writing process to keep the party neutral , silent and inactive on each and every issue facing Hawaii . "
This,allow.01,to decide,,Affirmative,  This allows the party 's most liberal candidates and incumbents to decide what it means to be a Republican so they can take positions which are embraced by Hawaii 's most liberal Democrats . 
liberal candidates and incumbents,decide.01,what it means,,Affirmative,  This allows the party 's most liberal candidates and incumbents to decide what it means to be a Republican so they can take positions which are embraced by Hawaii 's most liberal Democrats . 
it,mean.01,to be,,Affirmative,  This allows the party 's most liberal candidates and incumbents to decide what it means to be a Republican so they can take positions which are embraced by Hawaii 's most liberal Democrats . 
the Party 's,take.01,positions,,Affirmative,  This allows the party 's most liberal candidates and incumbents to decide what it means to be a Republican so they can take positions which are embraced by Hawaii 's most liberal Democrats . 
by,embrace.01,positions,,Affirmative,  This allows the party 's most liberal candidates and incumbents to decide what it means to be a Republican so they can take positions which are embraced by Hawaii 's most liberal Democrats . 
one or two,anoint.01,anointed candidates,,Affirmative,It 's absolutely tragic that we are on the verge of wasting another two years by refusing to make a case for change ; opting instead for another fruitless strategy of wasting millions of party dollars to mercilessly pummel voters through repeated broadcasting of the names of the same one or two anointed candidates every two years . 
The Hawaii Republican Assembly,believe.01,Republicans have,,Affirmative,"  The Hawaii Republican Assembly believes that conservative Republicans have the solutions to Hawaii 's woes and that voters require a vigorous campaign of education , persuasion and inspiration from an unapologetically partisan HRP . "
conservative Republicans,have.03,the solutions to,,Affirmative,"  The Hawaii Republican Assembly believes that conservative Republicans have the solutions to Hawaii 's woes and that voters require a vigorous campaign of education , persuasion and inspiration from an unapologetically partisan HRP . "
