A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Israel,send.02,aid,to help rescue efforts in,Affirmative,Israel sent aid to help rescue efforts in flood - ravaged Serbia and Bosnia . 
Local media,report.01,that Israel sent,,Affirmative,"Local media reported that Israel sent a first shipment of emergency aid this weekend including medicine , food , blankets and rain gear , and will soon send pumps . "
Israel,send.02,a first shipment of,,Affirmative,"Local media reported that Israel sent a first shipment of emergency aid this weekend including medicine , food , blankets and rain gear , and will soon send pumps . "
by helicopter,deliver.01,emergency aid,,Affirmative,"The aid was delivered by helicopter because submerged cities were cut off by the record floods , which have left more than two dozen dead and thousands homeless . "
by,cut.04,submerged cities,,Affirmative,"The aid was delivered by helicopter because submerged cities were cut off by the record floods , which have left more than two dozen dead and thousands homeless . "
The town of Doboj,have.03,a small Jewish community,,Affirmative,"The town of Doboj in Bosnia 's Republic of Serbia region , which has a small Jewish community , was especially hard hit , with the city center totally under water and at least 20 dead , the mayor told local media . "
"Jewish community building ,",have.03,a synagogue,,Affirmative,"Doboj 's Jewish community building , which has a synagogue on an upper floor , is located in the town center . "
"Jasna Ciric ,",say.01,she understood,,Affirmative,"Jasna Ciric , the president of the Jewish community in Nis , Serbia , said she understood that all members of the Doboj Jewish community were safe but some were trapped in their homes without electricity , water or telephones . "
Jasna Ciric,understand.01,were safe but,,Affirmative,"Jasna Ciric , the president of the Jewish community in Nis , Serbia , said she understood that all members of the Doboj Jewish community were safe but some were trapped in their homes without electricity , water or telephones . "
"Aleksander Nikolic ,",say.01,aid was,,Affirmative,"Aleksander Nikolic , the assistant chief representative of the Republic of Serbia in Israel , said the Israeli aid was a very human gesture and proof of friendship in a most difficult moment , according to local media . "
1,keep.02,1,Clean,Affirmative,1 Keep it Clean . 
us,know.01,of,,Affirmative,Use the ' Report ' link on each comment to let us know of abusive posts . 
us,love.02,to hear,,Affirmative,"We 'd love to hear eyewitness accounts , the history behind an article . "
us,hear.01,"eyewitness accounts ,",,Affirmative,"We 'd love to hear eyewitness accounts , the history behind an article . "
us,know.01,what 's going on,,Affirmative,Let us know what 's going on ! 
