A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
participants hoping,hope.01,government will put growth back on,,Affirmative,"Investor sentiment in the past few days has been buoyant with participants hoping that a stable and business - friendly government will put growth back on track and kick - start reforms , which will give a fillip to earnings of listed firms . "
government,put.01,growth,back,Affirmative,"Investor sentiment in the past few days has been buoyant with participants hoping that a stable and business - friendly government will put growth back on track and kick - start reforms , which will give a fillip to earnings of listed firms . "
"reforms ,",give.01,a fillip,to earnings of,Affirmative,"Investor sentiment in the past few days has been buoyant with participants hoping that a stable and business - friendly government will put growth back on track and kick - start reforms , which will give a fillip to earnings of listed firms . "
"a new closing high of 7,263.55",surpass.01,"close of 7,203.00",,Affirmative,"The NSE Nifty also jumped 60.55 points , or 0.84 % , to end a new closing high of 7,263.55 -- surpassing Friday 's close of 7,203.00 . "
"The rising rupee ,",threaten.01,to spoilsport as shares of,,Affirmative,"The rising rupee , which surged to 58.37 against the US dollar intra-day , threatened to spoilsport as shares of IT and pharma companies -- mostly exporters -- were beaten down . "
"The rising rupee ,",spoilsport.01,as shares of,,Affirmative,"The rising rupee , which surged to 58.37 against the US dollar intra-day , threatened to spoilsport as shares of IT and pharma companies -- mostly exporters -- were beaten down . "
Brokers,say.01,activity gathered momentum on,,Affirmative,Brokers said buying activity gathered momentum on robust foreign funds inflow on optimism that the new government at the Centre would shortly take steps to revive economic growth . 
buying activity,gather.01,momentum,,Affirmative,Brokers said buying activity gathered momentum on robust foreign funds inflow on optimism that the new government at the Centre would shortly take steps to revive economic growth . 
the new government at,take.01,steps,,Affirmative,Brokers said buying activity gathered momentum on robust foreign funds inflow on optimism that the new government at the Centre would shortly take steps to revive economic growth . 
the new government at,revive.01,economic growth,,Affirmative,Brokers said buying activity gathered momentum on robust foreign funds inflow on optimism that the new government at the Centre would shortly take steps to revive economic growth . 
Markets,continue.01,to move upwards on Monday,,Affirmative,Markets continued to move upwards on Monday in light of NDA 's resounding victory in Lok Sabha polls . 
Export,orient.01,stocks like Pharma and,,Affirmative,"However , Export oriented stocks like Pharma and IT were hit hard on weak rupee , said K K Kavikondala , CEO , WealthRays Securities . "
"K K Kavikondala , CEO ,",say.01,"However , Export oriented stocks like Pharma and",,Affirmative,"However , Export oriented stocks like Pharma and IT were hit hard on weak rupee , said K K Kavikondala , CEO , WealthRays Securities . "
a stable central government,address.02,economic challenges,,Affirmative,"The landslide victory of BJP - led NDA in polls is credit positive for India as a stable central government is expected to address economic challenges , a Moody 's report on Monday . "
reports,say.01,have upgraded,,Affirmative,"Besides , reports said a clutch of foreign brokerages like Nomura and Goldman Sachs have upgraded Sensex / Nifty targets . "
a clutch of,upgrade.02,Nifty targets,,Affirmative,"Besides , reports said a clutch of foreign brokerages like Nomura and Goldman Sachs have upgraded Sensex / Nifty targets . "
by,lead.02,"power companies , led by",,Affirmative,"Stocks of power companies , led by 10.35 % surge in NTPC , were the star performers of the day . "
Bhel,sign.02,a pact,,Affirmative,Bhel zoomed 16.94 % on signing a pact with Indonesian firm to set up a power plant . 
Coal India,sprint.01,13 %,,Affirmative,Coal India sprinted nearly 13 % . 
"by Infosys , TCS and Wipro",lead.02,"IT exporters led by Infosys , TCS and Wipro",,Affirmative,"However , broader benchmark gains were capped as IT exporters led by Infosys , TCS and Wipro lost sizeable grounds as the rupee strengthened against the American currency , dragging the IT sector indices down by 4.95 % . "
"IT exporters led by Infosys , TCS and Wipro",lose.02,sizeable grounds,,Affirmative,"However , broader benchmark gains were capped as IT exporters led by Infosys , TCS and Wipro lost sizeable grounds as the rupee strengthened against the American currency , dragging the IT sector indices down by 4.95 % . "
the rupee strengthened against,drag.01,the IT sector,,Affirmative,"However , broader benchmark gains were capped as IT exporters led by Infosys , TCS and Wipro lost sizeable grounds as the rupee strengthened against the American currency , dragging the IT sector indices down by 4.95 % . "
