A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
by,deny.01,saving cancer drug treatment,,Affirmative,"Bobby Power , who was denied a life - saving cancer drug treatment by Aviva Health , with his daughter Lucy and grandchildren Ryan ( 4 ) [ in green t - shirt ] and baby Liam . "
A CANCER patient,refuse.01,to pay for,,Affirmative,A CANCER patient whose insurance company refused to pay for a life - saving drug will now get the vital medication as a public patient . 
A CANCER patient,get.01,the vital medication,as,Affirmative,A CANCER patient whose insurance company refused to pay for a life - saving drug will now get the vital medication as a public patient . 
Bobby Power -LRB- 67 -RRB-,begin.01,a course of treatment,,Affirmative,Bobby Power ( 67 ) was very relieved when informed he can begin a course of treatment using the Ipilimumab drug for his advanced melanoma cancer in his liver on Thursday . 
The father of four,receive.01,the treatment,,Affirmative,"The father of four was scheduled to receive the treatment at the Mater Private Hospital last Monday , when it was suddenly cancelled after Aviva Health insurance refused to pick up the bill . "
Aviva Health insurance,refuse.01,to pick up,,Affirmative,"The father of four was scheduled to receive the treatment at the Mater Private Hospital last Monday , when it was suddenly cancelled after Aviva Health insurance refused to pick up the bill . "
Aviva Health insurance,pick.04,the bill,,Affirmative,"The father of four was scheduled to receive the treatment at the Mater Private Hospital last Monday , when it was suddenly cancelled after Aviva Health insurance refused to pick up the bill . "
Aviva Health,say.01,it would review,,Affirmative,"Aviva Health said it would review its stance if the price of the treatment is reduced in future - the treatment costs €100,000 per four - week course . "
Aviva Health,review.01,its stance,,Affirmative,"Aviva Health said it would review its stance if the price of the treatment is reduced in future - the treatment costs €100,000 per four - week course . "
the HSE,say.01,it will fund,,Affirmative,My dad is just so very relieved that the HSE have now said it will fund the treatment at the Mater Hospital . 
the HSE,fund.01,the treatment at,,Affirmative,My dad is just so very relieved that the HSE have now said it will fund the treatment at the Mater Hospital . 
daughter,say.01,He will be treated as,,Affirmative,"He will be treated as a public patient after a place became available on Thursday due to a cancellation , said Mr Power 's daughter Lucy Danagher . "
"Mr Power , who has four young grandchildren",tell.01,oncologist had informed him,The Herald,Affirmative,"Following Aviva 's refusal , Mr Power told The Herald his oncologist had informed him it was a matter of great urgency he received the Ipilimumab . "
his oncologist,inform.01,his oncologist,it was,Affirmative,"Following Aviva 's refusal , Mr Power told The Herald his oncologist had informed him it was a matter of great urgency he received the Ipilimumab . "
his oncologist,receive.01,the Ipilimumab,,Affirmative,"Following Aviva 's refusal , Mr Power told The Herald his oncologist had informed him it was a matter of great urgency he received the Ipilimumab . "
"Mr Power , who has four young grandchildren",say.01,he was informed,,Affirmative,"Speaking at his home in Portlaw , Co Waterford , he said he was informed the drug would give him a fighting chance . "
the Ipilimumab drug,give.01,a fighting chance,him,Affirmative,"Speaking at his home in Portlaw , Co Waterford , he said he was informed the drug would give him a fighting chance . "
"Mr Power ,",have.03,four young grandchildren,,Affirmative,"Mr Power , who has four young grandchildren , had been a member of VHI for almost 40 years . "
the VHI,fund.01,the removal of part of,,Affirmative,"When first diagnosed with melanoma in 2010 , VHI funded the removal of part of his thumb as a means to removing the cancer . "
"Mr Power , who has four young grandchildren",receive.01,assurances,from it,Affirmative,In 2012 he switched to Aviva Health after receiving assurances from it that his cancer cover would be the same as the VHI . 
"Mr Power , who has four young grandchildren",continue.01,to receive,,Affirmative,He continued to receive CAT scans at the Mater Private Hospital in Dublin to monitor any recurrence of the cancer . 
"Mr Power , who has four young grandchildren",receive.01,CAT scans,,Affirmative,He continued to receive CAT scans at the Mater Private Hospital in Dublin to monitor any recurrence of the cancer . 
"Mr Power , who has four young grandchildren",monitor.01,any recurrence of,,Affirmative,He continued to receive CAT scans at the Mater Private Hospital in Dublin to monitor any recurrence of the cancer . 
decision,leave.01,"Mr Power , who has four young grandchildren",in limbo,Affirmative,"Aviva 's decision had left him in limbo , he said . "
"Mr Power , who has four young grandchildren",say.01,decision had left him in limbo,,Affirmative,"Aviva 's decision had left him in limbo , he said . "
that he had been accepted for,relieve.01,"Mr Power , who has four young grandchildren",,Affirmative,He was enormously relieved that he had been accepted for the treatment as a public patient . 
A spokesperson for,acknowledge.01,VHI have been paying for,,Affirmative,A spokesperson for Aviva Ireland acknowledged that the VHI have been paying for the treatment for its customers since August 2012 . 
A spokesperson for Aviva Ireland,say.01,it had decided,,Affirmative,The spokesperson said it had decided to follow the advice of the body known as the National Centre for Pharmacoeconomics which advised against covering Ipilimumab at the price quoted to Aviva by the drug company having regard to its effectiveness in terms of patient outcomes . 
Aviva Health,decide.01,to follow,,Affirmative,The spokesperson said it had decided to follow the advice of the body known as the National Centre for Pharmacoeconomics which advised against covering Ipilimumab at the price quoted to Aviva by the drug company having regard to its effectiveness in terms of patient outcomes . 
Aviva Health,follow.02,the advice of,,Affirmative,The spokesperson said it had decided to follow the advice of the body known as the National Centre for Pharmacoeconomics which advised against covering Ipilimumab at the price quoted to Aviva by the drug company having regard to its effectiveness in terms of patient outcomes . 
by,quote.01,the price quoted to Aviva,to Aviva,Affirmative,The spokesperson said it had decided to follow the advice of the body known as the National Centre for Pharmacoeconomics which advised against covering Ipilimumab at the price quoted to Aviva by the drug company having regard to its effectiveness in terms of patient outcomes . 
the drug company having regard to,have.03,regard to,,Affirmative,The spokesperson said it had decided to follow the advice of the body known as the National Centre for Pharmacoeconomics which advised against covering Ipilimumab at the price quoted to Aviva by the drug company having regard to its effectiveness in terms of patient outcomes . 
