A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Several EU countries,press.01,to change ' best before,,Affirmative,"( BRUSSELS ) - Several EU countries pressed Monday to change ' best before ' food labelling , blamed for millions of tons of food being thrown away when getting a square meal is a daily struggle for many . "
Several EU countries,change.01,best,,Affirmative,"( BRUSSELS ) - Several EU countries pressed Monday to change ' best before ' food labelling , blamed for millions of tons of food being thrown away when getting a square meal is a daily struggle for many . "
Union agriculture ministers,discuss.01,a document,,Affirmative,"European Union agriculture ministers discussed a document which argued that labels recommending consumption before a specific date were inappropriate for foodstuffs such as rice , pasta or coffee . "
a document,argue.01,were inappropriate for foodstuffs,,Affirmative,"European Union agriculture ministers discussed a document which argued that labels recommending consumption before a specific date were inappropriate for foodstuffs such as rice , pasta or coffee . "
labels recommending consumption before,recommend.01,consumption,,Affirmative,"European Union agriculture ministers discussed a document which argued that labels recommending consumption before a specific date were inappropriate for foodstuffs such as rice , pasta or coffee . "
the EU 's,say.01,products could be kept for longer,,Affirmative,"These products could be kept for longer without any harm being done , it said , with the ' best before ' date system causing unnecessary food waste . "
the document,say.01,estimating,,Affirmative,"is a high priority for many European countries , the document said , estimating annual losses at 89 million tonnes in Europe . "
This labelling,have.03,nothing,,Affirmative,"This labelling has nothing to do with health , it 's more to do with quality , which I think consumers can judge for themselves , Dutch Agriculture Minister Sharon Dijksma said . "
I,think.01,consumers can judge for themselves,,Affirmative,"This labelling has nothing to do with health , it 's more to do with quality , which I think consumers can judge for themselves , Dutch Agriculture Minister Sharon Dijksma said . "
consumers,judge.01,"quality ,",,Affirmative,"This labelling has nothing to do with health , it 's more to do with quality , which I think consumers can judge for themselves , Dutch Agriculture Minister Sharon Dijksma said . "
Minister Sharon Dijksma,say.01,", it 's more",,Affirmative,"This labelling has nothing to do with health , it 's more to do with quality , which I think consumers can judge for themselves , Dutch Agriculture Minister Sharon Dijksma said . "
"The European Commission ,",prepare.01,a report for June,,Affirmative,"The European Commission , the EU 's executive arm , is preparing a report for June on a sustainable food system due to take into account growing worries about food security . "
a sustainable food system due,take.01,growing worries about,into account,Affirmative,"The European Commission , the EU 's executive arm , is preparing a report for June on a sustainable food system due to take into account growing worries about food security . "
"countries including Austria , Germany , Denmark , Luxembourg and Sweden",minimise.01,the waste problem,,Affirmative,"As well as the Netherlands , countries including Austria , Germany , Denmark , Luxembourg and Sweden all support changes to at least minimise the waste problem while preserving food safety standards . "
by consumers in,junk.01,35 percent of food,,Affirmative,"According to the World Bank , about 35 percent of food ends up being thrown away , most of it junked by consumers in the developed countries . "
