A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
conservative Republicans,battle.01,establishment candidates,,Affirmative,"As conservative Republicans battle establishment candidates in primary races across the nation , it is clear that the fight for America 's future is not limited to interparty disagreements . "
Alaskan Joe Miller,call.07,two opponents,,Affirmative,"A Tea Party favorite , Miller called out two opponents in a recent statement lambasting their positions on anthropogenic climate change . "
Party favorite,lambast.01,their positions on,,Affirmative,"A Tea Party favorite , Miller called out two opponents in a recent statement lambasting their positions on anthropogenic climate change . "
both candidates,express.01,a desire,,Affirmative,"As former Arctic Research Commission chairman and former assistant secretary of state respectively , both candidates have expressed a desire to implement decisive steps to halt the ostensible effects of the much - disputed climatological phenomenon . "
Sullivan,note.01,made,,Affirmative,"Sullivan , he noted , made numerous references to climate change as a State Department official . "
Alaskan Joe Miller,claim.01,he unequivocally accepted,,Affirmative,"In them , Miller claimed , he unequivocally accepted the premise that climate change is man - caused and embraced numerous mitigation strategies to combat the issue . "
Sullivan,accept.01,the premise,,Affirmative,"In them , Miller claimed , he unequivocally accepted the premise that climate change is man - caused and embraced numerous mitigation strategies to combat the issue . "
Alaskan Joe Miller,bolster.01,his own position,,Affirmative,"To bolster his own position , Miller included in his statement a reference to an Alaska Climate Research Center study released in 2012 that shows the state 's climate actually cooled significantly between 2000 and 2010 . "
Center study released in 2012,show.01,climate actually cooled significantly between 2000 and 2010,,Affirmative,"To bolster his own position , Miller included in his statement a reference to an Alaska Climate Research Center study released in 2012 that shows the state 's climate actually cooled significantly between 2000 and 2010 . "
a decade building,build.01,a career in newspaper and radio,,Affirmative,"An award - winning journalist , B. Christopher Agee spent more than a decade building a career in newspaper and radio . "
a frequent guest on,show.01,He lives with,,Affirmative,"Chris is the author of two books and is a frequent guest on talk radio shows across the U.S. He lives with his wife , Nancy , in Phoenix , Ariz . "
Coal,fire.02,fired plants,,Affirmative,"Wait long enough and the 1,000 Coal fired plants that China is making at the rate of one per week will overwhelm anything the USA does . "
China,make.05,fired plants,,Affirmative,"Wait long enough and the 1,000 Coal fired plants that China is making at the rate of one per week will overwhelm anything the USA does . "
fired plants,overwhelm.01,anything,,Affirmative,"Wait long enough and the 1,000 Coal fired plants that China is making at the rate of one per week will overwhelm anything the USA does . "
the USA,do.02,anything,,Affirmative,"Wait long enough and the 1,000 Coal fired plants that China is making at the rate of one per week will overwhelm anything the USA does . "
the USA,use.01,USA Coal and,,Affirmative,But make it illegal for the USA to use USA Coal and Harry Reid who is an Honorary citizen of Red China will sell all USA Coalt ot China and he will become an Extraordinay citizen of China . 
all USA Coalt,ot.01,China,,Affirmative,But make it illegal for the USA to use USA Coal and Harry Reid who is an Honorary citizen of Red China will sell all USA Coalt ot China and he will become an Extraordinay citizen of China . 
We,need.01,to stop with all of,,Affirmative,We need to stop with all of this man caused climate change nonsense and stop trying to reverse the damage already done . 
We,stop.01,with all of,,Affirmative,We need to stop with all of this man caused climate change nonsense and stop trying to reverse the damage already done . 
We,stop.01,trying,,Affirmative,We need to stop with all of this man caused climate change nonsense and stop trying to reverse the damage already done . 
We,need.01,to start investing in,,Affirmative,We need to start investing in disaster rehabilitation companies that can restore homes destroyed by hurricanes such as Sandy . 
We,start.01,investing in,,Affirmative,We need to start investing in disaster rehabilitation companies that can restore homes destroyed by hurricanes such as Sandy . 
rehabilitation companies,restore.01,homes destroyed by hurricanes,,Affirmative,We need to start investing in disaster rehabilitation companies that can restore homes destroyed by hurricanes such as Sandy . 
by hurricanes,destroy.01,homes destroyed by hurricanes,,Affirmative,We need to start investing in disaster rehabilitation companies that can restore homes destroyed by hurricanes such as Sandy . 
I,think.01,that one was,,Affirmative,I think that one was only 60 billion dollars . 
We,need.01,to invest in,,Affirmative,"We need to invest in mass relocation companies that can ship , bus , truck , train , or fly hundreds of thousands of coastal residents who will be flooded out of their cities . "
I,think.01,"we can do this for 2 ,",,Affirmative,"I think we can do this for 2 , maybe 3 trillion dollars . "
we,do.02,this,,Affirmative,"I think we can do this for 2 , maybe 3 trillion dollars . "
it,allow.01,us to continue,,Affirmative,This would be the smartest approach since it would allow us to continue our present practices of coal powered energy and we can stop telling China and India to stop using coal since we are using it too . 
us,continue.01,our present practices of,,Affirmative,This would be the smartest approach since it would allow us to continue our present practices of coal powered energy and we can stop telling China and India to stop using coal since we are using it too . 
coal,power.01,powered energy,,Affirmative,This would be the smartest approach since it would allow us to continue our present practices of coal powered energy and we can stop telling China and India to stop using coal since we are using it too . 
we,stop.01,telling China and India,,Affirmative,This would be the smartest approach since it would allow us to continue our present practices of coal powered energy and we can stop telling China and India to stop using coal since we are using it too . 
we,tell.01,to stop using coal,China and India,Affirmative,This would be the smartest approach since it would allow us to continue our present practices of coal powered energy and we can stop telling China and India to stop using coal since we are using it too . 
China and India,stop.01,using coal,,Affirmative,This would be the smartest approach since it would allow us to continue our present practices of coal powered energy and we can stop telling China and India to stop using coal since we are using it too . 
China and India,use.01,coal,,Affirmative,This would be the smartest approach since it would allow us to continue our present practices of coal powered energy and we can stop telling China and India to stop using coal since we are using it too . 
we,use.01,it,,Affirmative,This would be the smartest approach since it would allow us to continue our present practices of coal powered energy and we can stop telling China and India to stop using coal since we are using it too . 
ALL,know.01,it,,Affirmative,The data for Global LYING has been Hacked and faked and ALL know it . 
Al Gore,buy.01,a Seaside home,,Affirmative,Fact 4 : Al Gore bought a Seaside home in San Diego that is at Sea Level +7 feet . 
Fact 5 Al Gore,fly.01,"a business jet , G5",,Affirmative,"Fact 5 Al Gore flies a business jet , G5 , I think that uses more fuel per person mile than any Boeing or other Big jet . "
I,think.01,that uses,,Affirmative,"Fact 5 Al Gore flies a business jet , G5 , I think that uses more fuel per person mile than any Boeing or other Big jet . "
Fact Al Gore,make.LV,Hundreds of Millions of Dollars,,Affirmative,Fact Al Gore has made Hundreds of Millions of Dollars in the Carbon Credit Scam . 
Texas,shut.05,fired Plants,,Affirmative,Texas shutting down 4 coal fired Plants does not offset the 100 plants that China and India build at the rate of one a week each . 
Texas shutting down,offset.01,the 100 plants,,Affirmative,Texas shutting down 4 coal fired Plants does not offset the 100 plants that China and India build at the rate of one a week each . 
China and India,build.01,the 100 plants,,Affirmative,Texas shutting down 4 coal fired Plants does not offset the 100 plants that China and India build at the rate of one a week each . 
a lib asking,ask.01,irrelevant question,,Affirmative,"As usual , a lib asking a totally irrelevant question . "
That,have.03,nothing,,Affirmative,"That has nothing to do with anything except attempt to muddy waters , and that is an Alinsky / Devious , thing to do and say . "
you,earn.01,respect,,Affirmative,"A lib thinks , exactly like a Muslim , buy a degree and you Earn respect . "
