A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
VietNamNet Bridge - Vietnamese,remind.01,to keep calm and rational on,themselves,Affirmative,VietNamNet Bridge - Vietnamese remind themselves to keep calm and rational on East Sea issues . 
Vietnamese,condemn.01,only the illegal acts ordered by,,Affirmative,Vietnamese condemn only the illegal acts ordered by the Chinese authorities and they understand that those Chinese who love peace are Vietnamese friends . 
by,order.01,only the illegal acts ordered by,,Affirmative,Vietnamese condemn only the illegal acts ordered by the Chinese authorities and they understand that those Chinese who love peace are Vietnamese friends . 
the Chinese authorities,understand.01,are,,Affirmative,Vietnamese condemn only the illegal acts ordered by the Chinese authorities and they understand that those Chinese who love peace are Vietnamese friends . 
those Chinese,love.01,peace,,Affirmative,Vietnamese condemn only the illegal acts ordered by the Chinese authorities and they understand that those Chinese who love peace are Vietnamese friends . 
the straw,break.01,back,,Affirmative,"The assassination of Grand Duke Franz Ferdinand by a Serb nationalist in June 1911 was described as the straw that broke the camel 's back , igniting World War I. World 's War II also started from seemingly minor events , including the xenophobic wave ( against German and German speaking people ) in the territories which then belonged to Czechoslovakia and later Poland . "
the territories,belong.01,to Czechoslovakia and,,Affirmative,"The assassination of Grand Duke Franz Ferdinand by a Serb nationalist in June 1911 was described as the straw that broke the camel 's back , igniting World War I. World 's War II also started from seemingly minor events , including the xenophobic wave ( against German and German speaking people ) in the territories which then belonged to Czechoslovakia and later Poland . "
the case of the Commonwealth of the United States and the country 's wars it launched with Spain,launch.01,wars,,Affirmative,This is the case of the Commonwealth of the United States and the country 's wars it launched with Spain . 
both the world wars,have.03,the involvement of,,Affirmative,It is worth noting that both the world wars had the involvement of the US and the German thirst for becoming a hegemonic power . 
Historians,stress.01,II broke out,,Affirmative,Historians stress that World War II broke out just after limited military conflicts . 
the British Empire and France,sign.02,a pact,,Affirmative,"This was a strange war , where the British Empire and France had signed a pact on protecting Czechoslovakia . "
the British Empire and France,protect.01,Czechoslovakia,,Affirmative,"This was a strange war , where the British Empire and France had signed a pact on protecting Czechoslovakia . "
Historians,declare.02,war,,Affirmative,"They declared war on Germany after Czechoslovakia was invaded by the Germans , but then did nothing . "
by,invade.01,Czechoslovakia,,Affirmative,"They declared war on Germany after Czechoslovakia was invaded by the Germans , but then did nothing . "
Czechoslovakia,do.02,nothing,,Affirmative,"They declared war on Germany after Czechoslovakia was invaded by the Germans , but then did nothing . "
the United States,enter.01,a `` strange war '',,Affirmative,The US only entered the war after the Pearl Habor event in December 1941 . 
a `` strange war '',fight.01,with Japan,,Affirmative,It only fought with Japan on a limited scale and gave weapons and support to Britain and the Soviet Union . 
a `` strange war '',give.01,weapons and support,to Britain and,Affirmative,It only fought with Japan on a limited scale and gave weapons and support to Britain and the Soviet Union . 
the Russians,pay.01,lease contracts,,Affirmative,"As for the Soviet Union , the support was carried out under the lend - lease contracts for which the Russians had to pay in gold later . "
The People 's Republic of China,admit.01,the vassals,,Affirmative,"In other words , it admits vassals and takes care not to let the vassals grow up . "
The People 's Republic of China,want.01,to be inferior to anyone,,Affirmative,"And of course , it does not want to be inferior to anyone . "
Yugoslavia,follow.02,its own way of development,,Affirmative,"While Yugoslavia got separated from the East Eastern socialist countries ' bloc to follow its own way of development , China also got split from the community , becoming a confronter with the Soviet Union . "
China,take.01,diplomatic steps with,,Affirmative,"During that time , China took diplomatic steps with clear calculations with the US . "
The time since then,keep.02,the relationship,at,Affirmative,"However , it always kept the relationship at a restricted level . "
The time since then,try.01,to expand,,Affirmative,"While it tried to expand the economic relationship , it still kept up its guard . "
The time since then,expand.01,the economic relationship,,Affirmative,"While it tried to expand the economic relationship , it still kept up its guard . "
The time since then,keep.05,its guard,,Affirmative,"While it tried to expand the economic relationship , it still kept up its guard . "
China,attempt.01,to become,,Affirmative,China is attempting to become an influence in the world . 
by Chinese,invest.01,then,,Affirmative,"It is obvious that the enterprises set up in Vietnamese territories , even though they are invested by Chinese , are Vietnamese assets . "
Vietnamese,protect.01,these,,Affirmative,"As these are Vietnamese assets , Vietnamese have to protect them and keep them for the country and for Vietnam 's future . "
Vietnamese,keep.04,these,,Affirmative,"As these are Vietnamese assets , Vietnamese have to protect them and keep them for the country and for Vietnam 's future . "
the Russians,conduct.01,negotiations with Germany,,Affirmative,"After the first World War , Russia , or the Soviet Union since 1920 , conducted negotiations with Germany about how to treat the assets Germans developed in Russia before the war . "
the workers in,damage.01,the workshops and factories invested by Chinese and Taiwan,,Affirmative,News has been spread out on Internet that the workers in Binh Duong Province have damaged the workshops and factories invested by Chinese and Taiwan . 
by Chinese and Taiwan,invest.01,the workshops and factories invested by Chinese and Taiwan,,Affirmative,News has been spread out on Internet that the workers in Binh Duong Province have damaged the workshops and factories invested by Chinese and Taiwan . 
local newspapers,report.01,that they only went on strike,,Affirmative,But local newspapers have reported that they only went on strike to protest against the Chinese illegal acts . 
the workers in Binh Duong Province,go.02,on strike,,Affirmative,But local newspapers have reported that they only went on strike to protest against the Chinese illegal acts . 
the workers in Binh Duong Province,protest.01,against,,Affirmative,But local newspapers have reported that they only went on strike to protest against the Chinese illegal acts . 
Law enforcement and,say.01,they have found out,,Affirmative,Law enforcement and government agencies say they have found out that the destruction was caused by suspicious people . 
the workers in Binh Duong Province,find.01,destruction was caused by,,Affirmative,Law enforcement and government agencies say they have found out that the destruction was caused by suspicious people . 
by,cause.01,the destruction,,Affirmative,Law enforcement and government agencies say they have found out that the destruction was caused by suspicious people . 
observers,believe.01,US will not get involved,,Affirmative,"Therefore , observers believe that the US will not get involved right now in the East Sea 's conflict . "
the Vietnam-China border conflict in 1979,affect.01,other countries in,,Affirmative,"However , if the conflict expands and affects other countries in the region , including those with US alliances , the involvement of the US is very likely . "
analysts,say.01,", surely does not like",,Affirmative,"Meanwhile , analysts say , Russia , a country with many existing territorial disputes with China , surely does not like a changeable neighbor like China . "
"Russia ,",like.01,a changeable neighbor like China,,Affirmative,"Meanwhile , analysts say , Russia , a country with many existing territorial disputes with China , surely does not like a changeable neighbor like China . "
the Russians,raise.01,its voice,,Affirmative,"If the situation in the East Sea can not be resolved , or tensions at least eased , Russia will raise its voice . "
