A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
president Xi Jinping,speak.01,about,,Affirmative,"During his recent visit to central China 's Henan province , Chinese president Xi Jinping spoke about the nation 's economic development , reports Shanghai 's China Business News . "
China Business News,report.01,Jinping spoke about,,Affirmative,"During his recent visit to central China 's Henan province , Chinese president Xi Jinping spoke about the nation 's economic development , reports Shanghai 's China Business News . "
We,boost.01,our confidence,,Affirmative,"We must boost our confidence , adapt to the new normal conditions based on the characteristics of China 's economic growth in the current phase and remain cool - minded , Xi said . "
Xi,say.01,We must boost,,Affirmative,"We must boost our confidence , adapt to the new normal conditions based on the characteristics of China 's economic growth in the current phase and remain cool - minded , Xi said . "
by,use.01,The term,,Affirmative,"The term ' new normal ' was first used by Mohamed El-Erian , chief executive and co-chief investment officer at global investment firm PIMCO , and the term is generally used to refer to the slow and painful process of economic recovery in the wake of a crisis . "
The term ` new normal ',refer.01,to,,Affirmative,"The term ' new normal ' was first used by Mohamed El-Erian , chief executive and co-chief investment officer at global investment firm PIMCO , and the term is generally used to refer to the slow and painful process of economic recovery in the wake of a crisis . "
An official,tell.01,economy could not avoid,the paper,Affirmative,"An official told the paper that as a major part of the world economy , China 's economy could not avoid the emergence of a ' new normal ' state , adding that based on the microdata available during the last two years , We should realize quickly and shift from the past normal to the new normal . "
economy,avoid.01,the emergence of,,Affirmative,"An official told the paper that as a major part of the world economy , China 's economy could not avoid the emergence of a ' new normal ' state , adding that based on the microdata available during the last two years , We should realize quickly and shift from the past normal to the new normal . "
An official,emphasize.01,the concept of,,Affirmative,"The official also emphasized that the concept of a ' new normal ' had won recognition by a majority of officials in economic areas , and Xi 's recent remarks have set a unified tone . "
recent remarks,set.02,a unified tone,,Affirmative,"The official also emphasized that the concept of a ' new normal ' had won recognition by a majority of officials in economic areas , and Xi 's recent remarks have set a unified tone . "
"Liu Peilin ,",say.01,normal had,,Affirmative,"Liu Peilin , deputy director at the Department of Development Strategy and Regional Economy of Development Research Center under the State Council , said that compared with the past normal ; the new normal had several features . "
the new normal,have.03,several features,,Affirmative,"Liu Peilin , deputy director at the Department of Development Strategy and Regional Economy of Development Research Center under the State Council , said that compared with the past normal ; the new normal had several features . "
Liu Peilin,note.01,growth will be lower than,,Affirmative,"China 's growth will be lower than the growth seen during the last decade , but it will still be higher when compared with other global economies , Liu noted . "
The prime growth driver,say.01,driver will be related to,,Affirmative,"The prime growth driver will be related to industrial upgrading and transformation , increased production and innovation , as well as an economic restructuring , he said . "
"Wang Yiming ,",say.01,the ' new normal ' would mainly focus on,,Affirmative,"Wang Yiming , secretary - general of the National Development and Reform Commission , said the challenges posed by the ' new normal ' would mainly focus on four areas - excess capacity , a rapid rise in factor costs , insufficient innovation capacity of enterprises , and the possibility of increased financial risks . "
by,pose.02,the challenges posed by,,Affirmative,"Wang Yiming , secretary - general of the National Development and Reform Commission , said the challenges posed by the ' new normal ' would mainly focus on four areas - excess capacity , a rapid rise in factor costs , insufficient innovation capacity of enterprises , and the possibility of increased financial risks . "
economic competitiveness,enter.01,a bottleneck,,Affirmative,"The biggest difference in the present situation and that of a decade ago is that China 's economic competitiveness is entering a bottleneck , a market observer told the paper , adding that over the past decade , China gained a bigger market share in international trade and relied on low costs , but such an edge will be cut dramatically and even disappear over the next five to 10 years . "
a market observer,tell.01,is,the paper,Affirmative,"The biggest difference in the present situation and that of a decade ago is that China 's economic competitiveness is entering a bottleneck , a market observer told the paper , adding that over the past decade , China gained a bigger market share in international trade and relied on low costs , but such an edge will be cut dramatically and even disappear over the next five to 10 years . "
central China 's,gain.02,a bigger market share in,,Affirmative,"The biggest difference in the present situation and that of a decade ago is that China 's economic competitiveness is entering a bottleneck , a market observer told the paper , adding that over the past decade , China gained a bigger market share in international trade and relied on low costs , but such an edge will be cut dramatically and even disappear over the next five to 10 years . "
central China 's,rely.01,on,,Affirmative,"The biggest difference in the present situation and that of a decade ago is that China 's economic competitiveness is entering a bottleneck , a market observer told the paper , adding that over the past decade , China gained a bigger market share in international trade and relied on low costs , but such an edge will be cut dramatically and even disappear over the next five to 10 years . "
a report by,note.01,economy will also enter,,Affirmative,"Meanwhile , a report by the United Overseas Bank noted that with China entering a stage of reform and restructuring , its economy will also enter the ' new normal ' of moderate growth and this slower growth trend could extend to the second quarter of 2014 . "
central China 's,enter.01,a stage of reform and restructuring,,Affirmative,"Meanwhile , a report by the United Overseas Bank noted that with China entering a stage of reform and restructuring , its economy will also enter the ' new normal ' of moderate growth and this slower growth trend could extend to the second quarter of 2014 . "
Regional Economy of Development Research Center under the State Council,enter.01,the ' new normal ' of,,Affirmative,"Meanwhile , a report by the United Overseas Bank noted that with China entering a stage of reform and restructuring , its economy will also enter the ' new normal ' of moderate growth and this slower growth trend could extend to the second quarter of 2014 . "
