A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Ukraine 's,have.03,a President-in-waiting,,Affirmative,"Kiev - For all intents and purposes , Ukraine already has a President-in-waiting even if the elections , slated for May 25th , have yet to take place . "
the elections,have.03,yet,,Affirmative,"Kiev - For all intents and purposes , Ukraine already has a President-in-waiting even if the elections , slated for May 25th , have yet to take place . "
both media and,embrace.01,the chocolate magnate,,Affirmative,"Such is the enthusiasm of the West at the prospect of Petro Poroshenko , that both media and political leaders have embraced the chocolate magnate . "
the diplomatic pageant,accompany.01,the Crimean crisis and,,Affirmative,"Yulia Tymoshenko , the iron lady of Ukrainian politics of the late 2000 s , is being awarded far less attention in the diplomatic pageant that has accompanied the Crimean crisis and its protracted aftermath . "
both,agree.01,destiny lies with Europe and,,Affirmative,"While both agree that Ukraine 's destiny lies with Europe and its 500 - million strong common market , they do not see eye to eye over joining the West 's main military alliance . "
both,see.01,eye to eye over joining,,Affirmative,"While both agree that Ukraine 's destiny lies with Europe and its 500 - million strong common market , they do not see eye to eye over joining the West 's main military alliance . "
Yulia Tymoshenko,stress.01,that Ukraine ' must be,,Affirmative,Tymoshenko has repeatedly stressed that Ukraine ' must be a part of NATO ' and said that she will hold a referendum for the people to decide . 
Yulia Tymoshenko,say.01,that she will hold,,Affirmative,Tymoshenko has repeatedly stressed that Ukraine ' must be a part of NATO ' and said that she will hold a referendum for the people to decide . 
Yulia Tymoshenko,hold.04,a referendum,,Affirmative,Tymoshenko has repeatedly stressed that Ukraine ' must be a part of NATO ' and said that she will hold a referendum for the people to decide . 
Petro Poroshenko,refuse.01,to take into account,,Affirmative,"Poroshenko , on the other hand , refuses to take into account the possibility of Ukraine 's membership in the Western - backed military alliance . "
Petro Poroshenko,take.01,the possibility of,into account,Affirmative,"Poroshenko , on the other hand , refuses to take into account the possibility of Ukraine 's membership in the Western - backed military alliance . "
Such a referendum at,provide.01,unity,,Affirmative,"Such a referendum at this stage will not provide unity , and that means it 's impractical to carry it out , Poroshenko said . "
this stage,mean.01,it 's impractical,,Affirmative,"Such a referendum at this stage will not provide unity , and that means it 's impractical to carry it out , Poroshenko said . "
Petro Poroshenko,say.01,"will not provide unity , and",,Affirmative,"Such a referendum at this stage will not provide unity , and that means it 's impractical to carry it out , Poroshenko said . "
Petro Poroshenko,take.01,a cautious approach in engaging with Russia,,Affirmative,"Essentially , Poroshenko has taken a cautious approach in engaging with Russia , not wanting to upset a Kremlin that has repeatedly stated its willingness to ' do business with ' , with the chocolate magnate if he were to win the top job . "
