'actor0', 'A0', 'Verb', 'A1', 'A2', 'Polarity', 'Sentence', 'actor1', 'File Name', 'Date'
'Bahrain', "the Bahraini authorities '", 'assure.01', 'Amnesty International', 'of', 'Affirmative', 'During meetings , the Bahraini authorities have assured Amnesty International of their commitment and seriousness about moving forward the human rights dossier and the need for more time and engagement from the national and international human rights community in order to make the reform work . ', 'Amnesty International', 'newsText14971', 2014\05\19
'China', "China 's", 'suspend.01', 'the China - U.S', '', 'Affirmative', "It 's the first time ever that the U.S. government has formally accused another nation of using the internet to break into U.S. businesses and shortly after the indictment was announced China suspended the China - U.S . ", 'China', 'newsText14704', 2014\05\19
'China', 'Ong , who helped the state of Gujarat , governed by Modi since 2001 , solicit investment from Taiwan-based China Steel Corp.', 'cite.01', 'frequent visits to Taiwan', '', 'Affirmative', "Ong asked , citing frequent visits to Taiwan by officials from India 's Ministry of Commerce and Industry and Ministry of Communications and Information Technology . ", 'Taiwan', 'newsText15213', 2014\05\19
'Ghana', 'Nestle Ghana', 'begin.01', 'operations in Ghana', '', 'Affirmative', "Nestle Ghana , a subsidiary of Nestle S.A. is the world 's leading Nutrition , Health and wellness organisation began it operations in Ghana in 1957 under the name Nestle Products ( GH ) . ", 'Ghana', 'newsText15207', 2014\05\19
'Ghana', 'Nestle Ghana Limited', 'inaugurate.02', 'its refurbished head office building in Accra', '', 'Affirmative', "Nestle Ghana Limited has inaugurated its refurbished head office building in Accra to enhance its contribution to the growth of Ghana 's economy and the food processing industry . ", 'Ghana', 'newsText15207', 2014\05\19
'India', "officials from India 's Ministry of Commerce and Industry and Ministry of Communications and Information Technology", 'consider.01', 'whether India should play', '', 'Affirmative', "Given the recent anti-China riots in Vietnam , perhaps we should consider whether India should play a greater role [ in the nation 's economy ] , said Ong , who helped the state of Gujarat , governed by Modi since 2001 , solicit investment from Taiwan - based China Steel Corp . ", 'India', 'newsText15213', 2014\05\19
'India', 'prime minister-elect Narendra Modi', 'visit.01', 'Taiwan', '', 'Affirmative', 'Modi visited Taiwan in November 1999 when he was a general - secretary of his party . ', 'Taiwan', 'newsText15213', 2014\05\19
'India', 'prime minister-elect Narendra Modi', 'visit.01', 'Taiwan', '', 'Affirmative', 'Modi visited Taiwan in November 1999 when he was a general secretary of his party . ', 'Taiwan', 'newsText15224', 2014\05\19
'Iran', "Iranian actress Leila Hatami , co-star of Asghar Farhadi 's 2011 Oscar winner A Separation", 'malign.01', 'Iranians', '', 'Affirmative', "After catching wind of the kiss , the Islamic republic 's deputy culture minister , Hossein Noushabadi , accused her of maligning Iranians -- especially Iranian women -- with her actions and presence at the festival . ", 'Iran', 'newsText14957', 2014\05\19
'Iran', 'by Iran', 'take.01', 'the measures taken [ by Iran', '', 'Affirmative', '\xc3\xa2\xe2\x82\xac\xc5\x93We are now at a stage where the Agency should as soon as possible report its assessment of the measures taken [ by Iran ] so that the path for future [ Iran - IAEA ] cooperation is smoothed out , \xc3\xa2\xe2\x82\xac\xef\xbf\xbd he added . ', 'Iran', 'newsText15215', 2014\05\19
