A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Niwatthamrong Boonsongphaisan,attend.01,a meeting with members of,,Affirmative,"Thailand 's acting Prime Minister Niwatthamrong Boonsongphaisan ( L ) attends a meeting with members of Thailand 's Election Commission at an air force base in Bangkok May 15 , 2014 . "
acting prime minister,meet.03,senators,,Affirmative,"BANGKOK ( Reuters ) - Thailand 's acting prime minister was meeting senators on Monday to search for a way out of a protracted political crisis , as anti-government protesters step up pressure to remove him and install a new administration . "
the anti-government protesters,step.03,pressure,,Affirmative,"BANGKOK ( Reuters ) - Thailand 's acting prime minister was meeting senators on Monday to search for a way out of a protracted political crisis , as anti-government protesters step up pressure to remove him and install a new administration . "
the anti-government protesters,remove.01,Prime Minister Niwatthamrong Boonsongphaisan -LRB- L -RRB-,,Affirmative,"BANGKOK ( Reuters ) - Thailand 's acting prime minister was meeting senators on Monday to search for a way out of a protracted political crisis , as anti-government protesters step up pressure to remove him and install a new administration . "
the anti-government protesters,install.01,a new administration,,Affirmative,"BANGKOK ( Reuters ) - Thailand 's acting prime minister was meeting senators on Monday to search for a way out of a protracted political crisis , as anti-government protesters step up pressure to remove him and install a new administration . "
a court,find.02,them guilty of abuse of power,,Affirmative,Thailand is stuck in political limbo following the dismissal of Prime Minister Yingluck Shinawatra and nine of her ministers on May 7 after a court found them guilty of abuse of power . 
the anti-government protesters,say.01,he has,,Affirmative,"Commerce Minister Niwatthamrong Boonsongphaisan replaced her , but the anti-government protesters say he has no legal standing and want all remaining ministers to step down so a new government can be appointed to push through reforms . "
Yingluck Shinawatra,have.03,no legal standing,,Affirmative,"Commerce Minister Niwatthamrong Boonsongphaisan replaced her , but the anti-government protesters say he has no legal standing and want all remaining ministers to step down so a new government can be appointed to push through reforms . "
Yingluck Shinawatra,want.01,ministers to step down so,,Affirmative,"Commerce Minister Niwatthamrong Boonsongphaisan replaced her , but the anti-government protesters say he has no legal standing and want all remaining ministers to step down so a new government can be appointed to push through reforms . "
all remaining ministers,step.04,government can be appointed,,Affirmative,"Commerce Minister Niwatthamrong Boonsongphaisan replaced her , but the anti-government protesters say he has no legal standing and want all remaining ministers to step down so a new government can be appointed to push through reforms . "
six months of protests,reach.01,a crescendo,,Affirmative,"As six months of protests reach a crescendo , Bangkok is now the scene of a tense stand - off between government supporters loyal to Yingluck and her brother , ousted former Prime Minister Thaksin Shinawatra , and opposition demonstrators drawn from Bangkok 's middle class and royalist establishment . "
Thailand 's,have.03,a functioning lower house,,Affirmative,Thailand has not had a functioning lower house since Yingluck dissolved parliament in December . 
Yingluck,dissolve.01,parliament,,Affirmative,Thailand has not had a functioning lower house since Yingluck dissolved parliament in December . 
"house Senate ,",say.01,it could select,,Affirmative,"The upper house Senate , the country 's only remaining legislative body , says it could select an interim prime minister but its leader wants to consult the government first . "
Senate,select.01,an interim prime minister,,Affirmative,"The upper house Senate , the country 's only remaining legislative body , says it could select an interim prime minister but its leader wants to consult the government first . "
its leader,want.01,to consult,,Affirmative,"The upper house Senate , the country 's only remaining legislative body , says it could select an interim prime minister but its leader wants to consult the government first . "
its leader,consult.01,a new government,,Affirmative,"The upper house Senate , the country 's only remaining legislative body , says it could select an interim prime minister but its leader wants to consult the government first . "
Senate,incense.01,"leader Suthep Thaugsuban ,",,Affirmative,"That has incensed protest leader Suthep Thaugsuban , who wants the caretaker government removed right away . "
"leader Suthep Thaugsuban ,",want.01,government removed,,Affirmative,"That has incensed protest leader Suthep Thaugsuban , who wants the caretaker government removed right away . "
We,take.01,democratic power,,Affirmative,"We will take democratic power and hand it back to the people , Suthep told supporters in a speech late on Sunday . "
We,hand.01,Senate,,Affirmative,"We will take democratic power and hand it back to the people , Suthep told supporters in a speech late on Sunday . "
"Suthep , who has promised to surrender to the authorities on May 27 if this final push does not succeed",tell.01,We will take,supporters,Affirmative,"We will take democratic power and hand it back to the people , Suthep told supporters in a speech late on Sunday . "
We,chase.01,the remnants of,,Affirmative,From Monday we will chase the remnants of the Thaksin regime out . 
You,stunt.01,progress,,Affirmative,"You are stunting Thailand 's progress , said Suthep , who has promised to surrender to the authorities on May 27 if this final push does not succeed . "
"Suthep ,",say.01,You are stunting,,Affirmative,"You are stunting Thailand 's progress , said Suthep , who has promised to surrender to the authorities on May 27 if this final push does not succeed . "
The uncertainty,damage.01,"the economy ,",,Affirmative,"The uncertainty has damaged the economy , which shrank by 2.1 percent in January - March from the final quarter of 2013 , according to data on Monday from the state planning agency . "
The uncertainty,cut.02,its forecast,,Affirmative,"It cut its forecast for 2014 growth to between 1.5 and 2.5 percent , from a range of 3.0 to 4.0 percent . "
The uncertainty,note.01,investment was,,Affirmative,"It noted that public investment was 19.3 percent lower than a year before as the caretaker government has no authority to begin new projects , while private sector investment fell 7.3 percent as business confidence slumped . "
the caretaker government,have.03,no authority,,Affirmative,"It noted that public investment was 19.3 percent lower than a year before as the caretaker government has no authority to begin new projects , while private sector investment fell 7.3 percent as business confidence slumped . "
The government and,view.02,a new general election,as,Affirmative,The government and its supporters view a new general election as the best way to solve the crisis - the ruling Puea Thai Party would be well placed to win - but a vote tentatively scheduled for July 20 now looks to be off the table . 
by,disrupt.01,2 election,,Affirmative,2 election was disrupted by Suthep 's supporters and then declared void by the Constitutional Court . 
by,declare.02,void,,Affirmative,2 election was disrupted by Suthep 's supporters and then declared void by the Constitutional Court . 
The protesters,say.01,they will disrupt,,Affirmative,The protesters say they will disrupt any new vote that takes place before changes to the electoral system are pushed through . 
they,disrupt.01,any new vote,,Affirmative,The protesters say they will disrupt any new vote that takes place before changes to the electoral system are pushed through . 
by,oust.01,Thaksin,,Affirmative,Thaksin was ousted by the army in a 2006 coup and convicted of abuse of power in 2008 . 
His enemies,accuse.01,him,of being,Affirmative,His enemies accuse him of being a corrupt crony capitalist whose legacy has poisoned the country 's governance . 
a corrupt crony capitalist,poison.02,governance,,Affirmative,His enemies accuse him of being a corrupt crony capitalist whose legacy has poisoned the country 's governance . 
Thousands of pro-Thaksin,oppose.01,any efforts,,Affirmative,Thousands of pro-Thaksin red shirts have been camped out in Bangkok 's western outskirts to oppose any efforts to install an unelected prime minister . 
Monday,fuel.01,their anger,,Affirmative,"Fuelling their anger , Monday marks the fourth anniversary of a deadly crackdown on red shirt protesters by a government in which Suthep was a deputy prime minister . "
Monday,mark.01,the fourth anniversary of,,Affirmative,"Fuelling their anger , Monday marks the fourth anniversary of a deadly crackdown on red shirt protesters by a government in which Suthep was a deputy prime minister . "
weeks demanding,demand.01,Vejjajiva call,,Affirmative,"In 2010 , red shirts demonstrated for weeks demanding that then Prime Minister Abhisit Vejjajiva call a fresh election . "
Minister Abhisit Vejjajiva,call.01,a fresh election,,Affirmative,"In 2010 , red shirts demonstrated for weeks demanding that then Prime Minister Abhisit Vejjajiva call a fresh election . "
Both Abhisit and Suthep,face.01,murder charges for,,Affirmative,Both Abhisit and Suthep face murder charges for their role in ordering the military to end the protests . 
the military,end.01,the protests,,Affirmative,Both Abhisit and Suthep face murder charges for their role in ordering the military to end the protests . 
We,safeguard.01,power,,Affirmative,"We will safeguard the people 's power until our last breath , said red shirt leader Jatuporn Prompan in a fiery speech to supporters on Monday , asking them to pull together for a big rally on Saturday . "
leader Jatuporn Prompan,say.01,We will safeguard,,Affirmative,"We will safeguard the people 's power until our last breath , said red shirt leader Jatuporn Prompan in a fiery speech to supporters on Monday , asking them to pull together for a big rally on Saturday . "
leader Jatuporn Prompan,ask.02,to pull together for,them,Affirmative,"We will safeguard the people 's power until our last breath , said red shirt leader Jatuporn Prompan in a fiery speech to supporters on Monday , asking them to pull together for a big rally on Saturday . "
The army,try.01,to stay out of,,Affirmative,"The army has tried to stay out of the fight this time , but in a rare televised announcement last week the army chief said it would have no choice but to use full force if government supporters and opponents clashed . "
the army chief,say.01,it would have,,Affirmative,"The army has tried to stay out of the fight this time , but in a rare televised announcement last week the army chief said it would have no choice but to use full force if government supporters and opponents clashed . "
it,have.03,no choice but,,Affirmative,"The army has tried to stay out of the fight this time , but in a rare televised announcement last week the army chief said it would have no choice but to use full force if government supporters and opponents clashed . "
The political divisions,poison.02,every aspect of society in Thailand,,Affirmative,The political divisions are poisoning every aspect of society in Thailand . 
crowned candidate for,outrage.01,the red shirts,,Affirmative,"Thailand 's newly crowned candidate for the Miss Universe pageant , 22 - year - old Weluree Ditsayabut , has outraged the red shirts after disparaging remarks she posted about them on her Facebook . "
she,post.01,about them,,Affirmative,"Thailand 's newly crowned candidate for the Miss Universe pageant , 22 - year - old Weluree Ditsayabut , has outraged the red shirts after disparaging remarks she posted about them on her Facebook . "
They,read.01,one comment,,Affirmative,"They should all be executed , read one comment . "
We,welcome.01,comments on,,Affirmative,We welcome comments on our articles for a limited period after their publication . 
