A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
"Limited ,",commission.01,"its mega station in Warri ,",,Affirmative,"Masters Energy Oil & Gas Limited , a major player in the downstream sector of Nigerian oil and gas sector has commissioned its mega station in Warri , Delta State . "
The imposing ultra modern mega station situated along,ease.02,products availability,,Affirmative,The imposing ultra modern mega station situated along Sapele Road was commissioned to ease petroleum products availability to the residents of the ancient town of Warri . 
the representative of,commend.01,Masters Energy,for establishing,Affirmative,"Cutting the tape to declare the station open ,   the representative of Department of Petroleum Resources ( DPR ) Operations Controller , Mr. Jerry Odegbunam , commended Masters Energy for establishing such mega station in Warri and urged the company to ensure full compliance with all DPR 's laws in the conduct of its business . "
the representative of,urge.01,the company,to ensure,Affirmative,"Cutting the tape to declare the station open ,   the representative of Department of Petroleum Resources ( DPR ) Operations Controller , Mr. Jerry Odegbunam , commended Masters Energy for establishing such mega station in Warri and urged the company to ensure full compliance with all DPR 's laws in the conduct of its business . "
the company,ensure.01,full compliance with,,Affirmative,"Cutting the tape to declare the station open ,   the representative of Department of Petroleum Resources ( DPR ) Operations Controller , Mr. Jerry Odegbunam , commended Masters Energy for establishing such mega station in Warri and urged the company to ensure full compliance with all DPR 's laws in the conduct of its business . "
you,build.01,a mega station,,Affirmative,There is no doubt that you have built a mega station that is a beauty to behold ; but I want to charge you to ensure that you operate by the rules since DPR frowns on any sharp practice and will not hesitate to met out appropriate  punishment for any infringement of its laws . 
"the representative of Department of Petroleum Resources -LRB- DPR -RRB- Operations Controller , Mr. Jerry Odegbunam",want.01,to charge you,,Affirmative,There is no doubt that you have built a mega station that is a beauty to behold ; but I want to charge you to ensure that you operate by the rules since DPR frowns on any sharp practice and will not hesitate to met out appropriate  punishment for any infringement of its laws . 
"the representative of Department of Petroleum Resources -LRB- DPR -RRB- Operations Controller , Mr. Jerry Odegbunam",charge.01,you,to ensure,Affirmative,There is no doubt that you have built a mega station that is a beauty to behold ; but I want to charge you to ensure that you operate by the rules since DPR frowns on any sharp practice and will not hesitate to met out appropriate  punishment for any infringement of its laws . 
you,ensure.01,that you operate by,,Affirmative,There is no doubt that you have built a mega station that is a beauty to behold ; but I want to charge you to ensure that you operate by the rules since DPR frowns on any sharp practice and will not hesitate to met out appropriate  punishment for any infringement of its laws . 
you,hesitate.01,to met out,,Affirmative,There is no doubt that you have built a mega station that is a beauty to behold ; but I want to charge you to ensure that you operate by the rules since DPR frowns on any sharp practice and will not hesitate to met out appropriate  punishment for any infringement of its laws . 
"Head ,",inform.01,the residents of the ancient town of Warri,station was in line with,Affirmative,"Head , Retail Business , Masters Energy , Mr. Benjamin Solarin , in his speech informed the residents of Warri that the new mega station was in line with Masters Energy 's desire to make petroleum products available to Nigerians at affordable price . "
Benjamin Solarin,assure.01,residents of,that they will have value for,Affirmative,"Solarin assured residents of Warri town that they will have value for their money , adding , the integrity of our pumps is not in doubt and we will deliver excellent customer service that are yet to be witnessed in Warri . "
the residents of the ancient town of Warri,have.03,value for,,Affirmative,"Solarin assured residents of Warri town that they will have value for their money , adding , the integrity of our pumps is not in doubt and we will deliver excellent customer service that are yet to be witnessed in Warri . "
the residents of the ancient town of Warri,add.01,is not in doubt,,Affirmative,"Solarin assured residents of Warri town that they will have value for their money , adding , the integrity of our pumps is not in doubt and we will deliver excellent customer service that are yet to be witnessed in Warri . "
the residents of the ancient town of Warri,deliver.01,excellent customer service,,Affirmative,"Solarin assured residents of Warri town that they will have value for their money , adding , the integrity of our pumps is not in doubt and we will deliver excellent customer service that are yet to be witnessed in Warri . "
Masters Energy,maintain.01,its social pact with communities in,,Affirmative,  He reminded motorists and residents of the area that Masters Energy has maintained its social pact with communities in where it conducts business and admonished them to see the station as their own and patronise it at all times . 
its mega station,conduct.01,business,,Affirmative,  He reminded motorists and residents of the area that Masters Energy has maintained its social pact with communities in where it conducts business and admonished them to see the station as their own and patronise it at all times . 
Masters Energy,admonish.01,the residents of the ancient town of Warri,,Affirmative,  He reminded motorists and residents of the area that Masters Energy has maintained its social pact with communities in where it conducts business and admonished them to see the station as their own and patronise it at all times . 
the residents of the ancient town of Warri,see.01,its mega station,as,Affirmative,  He reminded motorists and residents of the area that Masters Energy has maintained its social pact with communities in where it conducts business and admonished them to see the station as their own and patronise it at all times . 
the residents of the ancient town of Warri,patronise.01,its mega station,,Affirmative,  He reminded motorists and residents of the area that Masters Energy has maintained its social pact with communities in where it conducts business and admonished them to see the station as their own and patronise it at all times . 
Ajala,say.01,company is reputed for selling products,,Affirmative,"On the issue of sale of PMS above government 's regulated pump price , Ajala said the company is reputed for selling products only at government 's official pump price . "
the company,sell.01,petroleum products,,Affirmative,"On the issue of sale of PMS above government 's regulated pump price , Ajala said the company is reputed for selling products only at government 's official pump price . "
Ajala,assure.01,the residents of the ancient town of Warri,station will operate in line with,Affirmative,Ajala assured the residents of Warri that the new mega station will operate in line with other Masters Energy outlets all over Nigeria and asked them to report any untoward practice by any staff to the appropriate quarters . 
Ajala,ask.02,to report,them,Affirmative,Ajala assured the residents of Warri that the new mega station will operate in line with other Masters Energy outlets all over Nigeria and asked them to report any untoward practice by any staff to the appropriate quarters . 
the residents of the ancient town of Warri,report.01,any untoward practice,to,Affirmative,Ajala assured the residents of Warri that the new mega station will operate in line with other Masters Energy outlets all over Nigeria and asked them to report any untoward practice by any staff to the appropriate quarters . 
by,witness.01,The commissioning of,,Affirmative,"The commissioning of the mega station was witnessed by DPR officials ,   representatives of the host community , executives of the National Union of Road Transport Workers ( NURTW ) . "
We,keep.02,you,,Affirmative,We 'll also keep you updated by email whenever someone else comments on this page . 
someone else,comment.01,on,,Affirmative,We 'll also keep you updated by email whenever someone else comments on this page . 
by,approve.01,your comment,,Affirmative,Your comment will appear on this page once it has been approved by a moderator . 
you,like.02,to search for,,Affirmative,Please enter some keywords that you 'd like to search for . 
you,search.01,some keywords,for,Affirmative,Please enter some keywords that you 'd like to search for . 
THISDAYLIVE,care.01,about you,,Affirmative,"THISDAYLIVE cares about you , help us to report better ! "
