A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Campbell Soup Co,cut.02,year sales forecast,as,Affirmative,May 19 ( Reuters ) - Campbell Soup Co cut its full - year sales forecast as the introduction of new soup flavors and increased promotions failed to stir enough consumers to switch from the lower - priced and healthier options at rivals . 
increased promotions,stir.02,enough consumers,,Affirmative,May 19 ( Reuters ) - Campbell Soup Co cut its full - year sales forecast as the introduction of new soup flavors and increased promotions failed to stir enough consumers to switch from the lower - priced and healthier options at rivals . 
largest soup maker,report.01,expected revenue,,Affirmative,Campbell 's shares fell as much as 7 percent on Monday after the world 's largest soup maker also reported weaker - than - expected revenue for the third - quarter ended April 27 . 
"Campbell ,",make.02,Farm bakery products,,Affirmative,"Campbell , which also makes Pepperidge Farm bakery products , Prego pasta sauces and V8 vegetable juices , launched eight new soup flavors in January and , in the latest quarter , increased the frequency of offers to try to win back consumers and protect its market share . "
Prego pasta sauces and,launch.01,eight new soup flavors,,Affirmative,"Campbell , which also makes Pepperidge Farm bakery products , Prego pasta sauces and V8 vegetable juices , launched eight new soup flavors in January and , in the latest quarter , increased the frequency of offers to try to win back consumers and protect its market share . "
consumers,realize.01,the anticipated lifts,,Affirmative,"Despite an increase in the frequency of our promotional activity in the third quarter , we did not realize the anticipated lifts in a challenging consumer environment , Chief Executive Denise Morrison said in a statement . "
Executive Denise Morrison,say.01,", we did not realize",,Affirmative,"Despite an increase in the frequency of our promotional activity in the third quarter , we did not realize the anticipated lifts in a challenging consumer environment , Chief Executive Denise Morrison said in a statement . "
"Campbell , which also makes Pepperidge Farm bakery products , Prego pasta sauces and V8 vegetable juices",say.01,it expects,,Affirmative,Campbell said it expects sales from continuing operations to increase about 3 percent in the year ending July compared with its previous forecast of a 4-5 percent rise . 
an increase in the frequency of our promotional activity in the third quarter,expect.01,to increase,,Affirmative,Campbell said it expects sales from continuing operations to increase about 3 percent in the year ending July compared with its previous forecast of a 4-5 percent rise . 
label products and,offer.01,healthier options and,,Affirmative,"The company 's share of the U.S. soup market has fallen to 47 percent in 2013 from 57 percent a decade ago due to stiff competition from both lower - priced private - label products and smaller rivals offering healthier options and high - quality soup products , according to data from Euromonitor . "
"Campbell , which also makes Pepperidge Farm bakery products , Prego pasta sauces and V8 vegetable juices",spend.02,millions of dollars,to reinvent,Affirmative,"Under Morrison , Campbell has spent millions of dollars to reinvent its marketing and packaging and is also trying to build the loyalty of the often fickle younger consumers , who tend to be more price - conscious and less brand - loyal than older cohorts . "
"Campbell , which also makes Pepperidge Farm bakery products , Prego pasta sauces and V8 vegetable juices",reinvent.01,its marketing and packaging,,Affirmative,"Under Morrison , Campbell has spent millions of dollars to reinvent its marketing and packaging and is also trying to build the loyalty of the often fickle younger consumers , who tend to be more price - conscious and less brand - loyal than older cohorts . "
"Campbell , which also makes Pepperidge Farm bakery products , Prego pasta sauces and V8 vegetable juices",try.01,to build,,Affirmative,"Under Morrison , Campbell has spent millions of dollars to reinvent its marketing and packaging and is also trying to build the loyalty of the often fickle younger consumers , who tend to be more price - conscious and less brand - loyal than older cohorts . "
"Campbell , which also makes Pepperidge Farm bakery products , Prego pasta sauces and V8 vegetable juices",build.01,the loyalty of,,Affirmative,"Under Morrison , Campbell has spent millions of dollars to reinvent its marketing and packaging and is also trying to build the loyalty of the often fickle younger consumers , who tend to be more price - conscious and less brand - loyal than older cohorts . "
soup companies,gain.02,ground,,Affirmative,"But still smaller niche soup companies such as Pacific of Oregon , Harris Foods Co and Amy 's Kitchen Inc continued to gain ground , according to Euromonitor . "
"Campbell , which also makes Pepperidge Farm bakery products , Prego pasta sauces and V8 vegetable juices",break.06,U.S. soup sales,,Affirmative,Campbell does not break out its soup sales by value but company reports show sales have fallen in 13 of the last 19 quarters - although they rose in every quarter of 2013 . 
company reports,show.01,sales have fallen in 13 of,,Affirmative,Campbell does not break out its soup sales by value but company reports show sales have fallen in 13 of the last 19 quarters - although they rose in every quarter of 2013 . 
soup sales,make.05,about a third of,,Affirmative,"Soup sales are expected to make up about a third of the company 's sales in 2014 , down from 40 percent in 2012 , largely due to the sale of its European soup business , Morrison had told Reuters in October last year . "
The company 's,say.01,also fell,,Affirmative,"Sales of Pepperidge Farm products also fell , the company said without providing figures . "
profit of,beat.01,estimate of,,Affirmative,"Excluding items , the company 's profit of 62 cents per share beat the average analysts ' estimate of 59 cents . "
The company,say.01,earnings would be at,,Affirmative,The company also said full - year adjusted earnings would be at the low end of its forecast of $ 2.53 - $ 2.58 per share . 
We,welcome.01,comments on,,Affirmative,We welcome comments on our articles for a limited period after their publication . 
