A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
This cruel dilemma,pit.01,the principle of thou-shalt-not-kill,against,Affirmative,This cruel dilemma pits the principle of thou-shalt-not-kill against simple math : Five is greater than one . 
each person,solve.01,the same way,,Affirmative,"But presumably it 's a dilemma each person solves the same way each time , unaffected by superficial things like the language in which it 's presented . "
we,like.01,to think,,Affirmative,"After all , we like to think we abide by a consistent moral code . "
we,think.01,we abide by,,Affirmative,"After all , we like to think we abide by a consistent moral code . "
we,abide.01,by,,Affirmative,"After all , we like to think we abide by a consistent moral code . "
psychologists,say.01,that 's not always,,Affirmative,Yet psychologists say that 's not always the case . 
psychologists,find.01,were,,Affirmative,"In a series of experiments , they found that people confronted with this one - for - five dilemma were far more likely to make a utilitarian choice when contemplating it in a foreign language . "
a growing body of research,cast.01,decision - making,as involving,Affirmative,"The findings fit into a growing body of research that casts decision - making as involving the interplay of competing psychological mechanisms : one that 's instinctive and emotional , and another that 's deliberative and calculating . "
by Keysar,lead.02,The researchers,,Affirmative,"Two years ago , researchers led by Keysar found that people thinking in a second language  tended to be more even - headed about risk - taking . "
The researchers,find.01,tended,,Affirmative,"Two years ago , researchers led by Keysar found that people thinking in a second language  tended to be more even - headed about risk - taking . "
A certain lack of fluency,encourage.02,deliberation,,Affirmative,"A certain lack of fluency seemed to encourage deliberation , dampening emotional reactions to the idea of loss . "
A certain lack of fluency,dampen.02,emotional reactions to,,Affirmative,"A certain lack of fluency seemed to encourage deliberation , dampening emotional reactions to the idea of loss . "
by Kesyar,use.01,the formulation used by Kesyar,,Affirmative,"In the formulation used by Kesyar , that dilemma is made more visceral : Subjects are asked whether they 'd push a man off a bridge and onto the tracks to stop the trolley . "
Subjects,push.01,a man,off,Affirmative,"In the formulation used by Kesyar , that dilemma is made more visceral : Subjects are asked whether they 'd push a man off a bridge and onto the tracks to stop the trolley . "
Subjects,stop.01,the trolley,,Affirmative,"In the formulation used by Kesyar , that dilemma is made more visceral : Subjects are asked whether they 'd push a man off a bridge and onto the tracks to stop the trolley . "
by emotions,influence.01,a choice,,Affirmative,That 's a choice heavily influenced by emotions . 
People,say.01,they 'd make,,Affirmative,People who say they 'd make the utilitarian decision to throw the switch often balk at the footbridge . 
People,balk.01,at,,Affirmative,People who say they 'd make the utilitarian decision to throw the switch often balk at the footbridge . 
language,affect.01,emotional processing,,Affirmative,"If language indeed affects emotional processing , reasoned Keysar and colleagues , it should influence this decision . "
the utilitarian decision,influence.01,the utilitarian decision,,Affirmative,"If language indeed affects emotional processing , reasoned Keysar and colleagues , it should influence this decision . "
people,speak.01,English,,Affirmative,"Among 317 male and female students - people who spoke English as a first language and Spanish as a second , as well as Korean / English , English / French and English / Hebrew speakers - 20 percent made the utilitarian decision when they read the dilemma in their native tongue , but the number jumped to 33 percent when they read it in a second language . "
