A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
members of,resolve.01,to chart,,Affirmative,"At a parley in Lagos , members of the Lagos State Executive Council and legislators have resolved to chart a new way forward for the Centre of Excellenece , ahead of the next general elections . "
members of,chart.01,a new way,,Affirmative,"At a parley in Lagos , members of the Lagos State Executive Council and legislators have resolved to chart a new way forward for the Centre of Excellenece , ahead of the next general elections . "
Lagos State Governor Babatunde Fashola,sustain.01,the tempo of achievements till,,Affirmative,He has promised to sustain the tempo of achievements till the last day . 
by,organisd.01,The theme of the parley,,Affirmative,It was organisd by the Political and Legislative Power Bureau . 
The forum also,bring.01,"the commissioners ,",,Affirmative,"The forum brought the commissioners , special advisers , House of Assembly members and federal legislators under one roof . "
the commissioners,converge.01,with,,Affirmative,"They converged with one accord on the Golden Tulip Hotel , Festac , as members of the ruling All Progressives Congress ( APC ) . "
The parley,offer.01,an opportunity,,Affirmative,"The parley offered an opportunity to them to share experiences , review policies and brainstorm on the way forward for Lagos State . "
The forum also,call.03,for,,Affirmative,"Apart from urging the INEC boss , Prof. Attahiru Jega , to be above board , the forum also called for the reversal of the order of the 2015 elections by the National Assembly . "
the forum,articulate.01,the need,,Affirmative,"In a 15 - point communiqué , the forum articulated the need to fast - track post-election litigations . "
the INEC,remove.01,the time,,Affirmative,"Urging the INEC to remove the time limit  on the conclusion of electoral petitions after the general elections , the forum said : The National Assembly should review and reverse the order of the 2015 general elections , starting from the local to the national . "
the forum,say.01,Assembly should review and reverse,,Affirmative,"Urging the INEC to remove the time limit  on the conclusion of electoral petitions after the general elections , the forum said : The National Assembly should review and reverse the order of the 2015 general elections , starting from the local to the national . "
The National Assembly,reverse.01,the order of,,Affirmative,"Urging the INEC to remove the time limit  on the conclusion of electoral petitions after the general elections , the forum said : The National Assembly should review and reverse the order of the 2015 general elections , starting from the local to the national . "
It,call.03,for,,Affirmative,"It called for increased intelligence and counter-terrorism actions , adding that multinational military cooperation and foreign assistance , based on agreed parametres of engagement that will not compromisesovereignty , will be helpful . "
It,add.01,", will be helpful",,Affirmative,"It called for increased intelligence and counter-terrorism actions , adding that multinational military cooperation and foreign assistance , based on agreed parametres of engagement that will not compromisesovereignty , will be helpful . "
"Lagos ,",need.01,security,,Affirmative,"But , Lagos , the commercial  hub ,   also needs security . "
The participants,urge.01,the government,to strengthen,Affirmative,"The participants urged the government to strengthen the Security Trust Fund , with a view to making the security arrangement more productive . "
the government,strengthen.01,the Security Trust Fund,,Affirmative,"The participants urged the government to strengthen the Security Trust Fund , with a view to making the security arrangement more productive . "
They,brainsormed.01,on,,Affirmative,"They also brainsormed on the maintenance of law and order , judicious allocation of resources to meet specific demands , the provision of infrastructure , promotion of human rights and sustenance of the effective revenue collection . "
the laws designed,enjoy.01,a measure of immunity from,,Affirmative,"According to the forum , the laws designed to protect fundamental human rights must enjoy a measure of immunity from legislative review and amendment and credible bodies must be vested with the power to blow the whistle when the parameters of the constitutional covenant are transgressed . "
