A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
ReutersA pro-Russian separatist in,man.01,rebel position Monday on,,Affirmative,"Yannis Behrakis / ReutersA pro-Russian separatist in a balaclava mans a fortified frontline rebel position Monday on the outskirts of Semenivka , a village in eastern Ukraine . "
Russian President Vladimir Putin,order.01,to withdraw troops,,Affirmative,"President Vladimir Putin ordered the Defense Ministry to withdraw troops from Russia 's border with Ukraine on Monday in what analysts said was a sign of the Kremlin 's willingness to deescalate tensions with Kiev and the West , despite ongoing clashes in eastern Ukraine . "
the Defense Ministry to withdraw,troop.01,border with,,Affirmative,"President Vladimir Putin ordered the Defense Ministry to withdraw troops from Russia 's border with Ukraine on Monday in what analysts said was a sign of the Kremlin 's willingness to deescalate tensions with Kiev and the West , despite ongoing clashes in eastern Ukraine . "
"skepticism by some observers ,",point.02,it was,,Affirmative,"While Putin 's statement was greeted with skepticism by some observers , who pointed out it was the third time Russia had announced its intention to withdraw troops from its border with Ukraine , the order was Putin 's most concrete statement on the issue , and both independent and pro-Kremlin analysts agreed that it was likely a case of third time lucky . "
Monday Russia,announce.01,its intention to withdraw troops,,Affirmative,"While Putin 's statement was greeted with skepticism by some observers , who pointed out it was the third time Russia had announced its intention to withdraw troops from its border with Ukraine , the order was Putin 's most concrete statement on the issue , and both independent and pro-Kremlin analysts agreed that it was likely a case of third time lucky . "
independent and pro-Kremlin analysts,agree.01,that it was,,Affirmative,"While Putin 's statement was greeted with skepticism by some observers , who pointed out it was the third time Russia had announced its intention to withdraw troops from its border with Ukraine , the order was Putin 's most concrete statement on the issue , and both independent and pro-Kremlin analysts agreed that it was likely a case of third time lucky . "
The statement released,say.01,that troops deployed,,Affirmative,"The statement released on the Kremlin 's website Monday said that troops deployed at military grounds in the Rostov , Belgorod and Bryansk regions  - which all border Ukraine  - have been ordered to retreat to their usual garrisons . "
troops,deploy.01,at military grounds,,Affirmative,"The statement released on the Kremlin 's website Monday said that troops deployed at military grounds in the Rostov , Belgorod and Bryansk regions  - which all border Ukraine  - have been ordered to retreat to their usual garrisons . "
Russian President Vladimir Putin,claim.01,that troops were being withdrawn from the,,Affirmative,"Earlier this month , Putin claimed that troops were being withdrawn from the region and in March , the Kremlin announced a partial withdrawal of its soldiers . "
the Kremlin,announce.01,of its soldiers,,Affirmative,"Earlier this month , Putin claimed that troops were being withdrawn from the region and in March , the Kremlin announced a partial withdrawal of its soldiers . "
its soldiers,to understand.01,are taken sequentially,,Affirmative,"We have to understand that decisions like these are taken sequentially , said Igor Korotchenko , chairman of the Public Council of the Defense Ministry . "
