A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Kenya :,lead.02,his Cabinet Secretaries,,Affirmative,"Kenya : President Uhuru Kenyatta last week led his Cabinet Secretaries in making directives , which skirted the lines of illegality and betrayed the government 's impatience with contrary public opinion . "
his Cabinet Secretaries,make.01,"directives ,",,Affirmative,"Kenya : President Uhuru Kenyatta last week led his Cabinet Secretaries in making directives , which skirted the lines of illegality and betrayed the government 's impatience with contrary public opinion . "
"directives ,",skirt.02,the lines of illegality,,Affirmative,"Kenya : President Uhuru Kenyatta last week led his Cabinet Secretaries in making directives , which skirted the lines of illegality and betrayed the government 's impatience with contrary public opinion . "
"directives ,",betray.01,impatience with,,Affirmative,"Kenya : President Uhuru Kenyatta last week led his Cabinet Secretaries in making directives , which skirted the lines of illegality and betrayed the government 's impatience with contrary public opinion . "
The Government,issue.01,several directives,,Affirmative,"The Government issued several directives , arguably with the best of intentions , but the means of executing them smacked of ' executive arrogance ' according to an analyst . "
The President,lead.02,the charge,,Affirmative,The President led the charge by directing Treasury to pay Sh1.4 billion to two firms involved in the Anglo Leasing scandal against opposition from the general public . 
The President,direct.01,Treasury Cabinet,to pay Sh1.4 billion to,Affirmative,The President led the charge by directing Treasury to pay Sh1.4 billion to two firms involved in the Anglo Leasing scandal against opposition from the general public . 
Treasury Cabinet,pay.01,Sh1.4 billion to,,Affirmative,The President led the charge by directing Treasury to pay Sh1.4 billion to two firms involved in the Anglo Leasing scandal against opposition from the general public . 
Â He,preside.01,over,,Affirmative,Â He also presided over the re-branding of the old Provincial Administration in which he paraded new county commanders with ' executive powers ' . 
The Government,commit.01,The Government,to,Affirmative,"Government also committed itself to a security deal worth Sh15 billion with Safaricom company , raising questions over due process in public procurement . "
The Government,raise.01,questions over,,Affirmative,"Government also committed itself to a security deal worth Sh15 billion with Safaricom company , raising questions over due process in public procurement . "
Â A Cabinet Secretary,replace.01,the director of,,Affirmative,"Â A Cabinet Secretary replaced the director of the National Youth Service , prompting complaints from a section of the coalition government . "
Â A Cabinet Secretary,prompt.01,complaints from,,Affirmative,"Â A Cabinet Secretary replaced the director of the National Youth Service , prompting complaints from a section of the coalition government . "
appointment of,spark.01,debate,,Affirmative,"Furthermore , appointment of the new director sparked debate in social media about Jubilee 's promise to run a government that is representative of the face of Kenya . "
another Cabinet Secretary,lend.01,his support,to,Affirmative,Meanwhile another Cabinet Secretary lent his support to an unpopular and illegal edict issued by Inspector General of Police David Kimaiyo . 
by,issue.01,edict issued by,,Affirmative,Meanwhile another Cabinet Secretary lent his support to an unpopular and illegal edict issued by Inspector General of Police David Kimaiyo . 
The Government,run.01,its affairs smacks of,,Affirmative,The way the Government is running its affairs smacks of executive hubris . 
The way the Government is running its affairs,say.01,it does n't matter,,Affirmative,"It is saying ' it does n't matter what you say , we will have our way ' , said anti-graft crusader John Githongo . "
we,have.03,The way the Government is running its affairs,,Affirmative,"It is saying ' it does n't matter what you say , we will have our way ' , said anti-graft crusader John Githongo . "
crusader John Githongo,say.01,It is saying ',,Affirmative,"It is saying ' it does n't matter what you say , we will have our way ' , said anti-graft crusader John Githongo . "
governance issues requiring,require.01,political consensus and,,Affirmative,"This so - what approach to governance issues requiring political consensus and proper communication , he said , might lead to unnecessary antagonism . "
you,say.01,might lead to,,Affirmative,"This so - what approach to governance issues requiring political consensus and proper communication , he said , might lead to unnecessary antagonism . "
by,precede.01,These announcements,,Affirmative,These announcements were preceded by a surprise charm offensive of a media the Jubilee government has lampooned since coming to office a year ago . 
the Jubilee government,lampoon.01,charm offensive of,,Affirmative,These announcements were preceded by a surprise charm offensive of a media the Jubilee government has lampooned since coming to office a year ago . 
Secretary Henry Rotich,declare.02,intention,,Affirmative,"When the Treasury Cabinet Secretary Henry Rotich declared the government 's intention to pay the Anglo Leasing firms , there was outrage from both sides of the political divide . "
Secretary Henry Rotich,pay.01,Leasing firms,,Affirmative,"When the Treasury Cabinet Secretary Henry Rotich declared the government 's intention to pay the Anglo Leasing firms , there was outrage from both sides of the political divide . "
President William Ruto,state.01,money will only be paid out to,,Affirmative,Deputy President William Ruto then stated in public that the money will only be paid out to the shadowy companies after Parliament 's approval . 
A meeting between,seek.01,a common ground,,Affirmative,A meeting between the CS and Jubilee MPs to seek a common ground on the matter ended up in disarray after the URP lawmakers stridently opposed the payments . 
the URP lawmakers,oppose.01,the payments,,Affirmative,A meeting between the CS and Jubilee MPs to seek a common ground on the matter ended up in disarray after the URP lawmakers stridently opposed the payments . 
President Uhuru Kenyatta last week,sense.01,the unpopularity of,,Affirmative,"Perhaps sensing the unpopularity of the move both in Parliament and in the court of public opinion , President Uhuru ordered Treasury to pay the money . "
President Uhuru Kenyatta last week,order.01,Treasury Cabinet,to pay,Affirmative,"Perhaps sensing the unpopularity of the move both in Parliament and in the court of public opinion , President Uhuru ordered Treasury to pay the money . "
Treasury Cabinet,pay.01,the money,,Affirmative,"Perhaps sensing the unpopularity of the move both in Parliament and in the court of public opinion , President Uhuru ordered Treasury to pay the money . "
The President,commit.01,the country,"to paying billions of shillings ,",Affirmative,"By so doing , the President committed the country to paying billions of shillings , which a few years ago , in his capacity as the chairman of the parliamentary Public Accounts Committee , he had recommended not to be paid . "
The President,pay.01,"billions of shillings ,",,Affirmative,"By so doing , the President committed the country to paying billions of shillings , which a few years ago , in his capacity as the chairman of the parliamentary Public Accounts Committee , he had recommended not to be paid . "
The President,recommend.01,not to be paid,,Affirmative,"By so doing , the President committed the country to paying billions of shillings , which a few years ago , in his capacity as the chairman of the parliamentary Public Accounts Committee , he had recommended not to be paid . "
