A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
You,change.01,the location,,Affirmative,You can change the location at any time . 
The new area,offer.01,art room for,,Affirmative,"The new area offers a state - of - the - art room for our victim advocates and forensic nurse examiners to provide expert care to sexual assault victims ,  said Margaret Bach , president / CEO of Child and Family Services of Saginaw . "
This partnership,open.01,the door,,Affirmative,"This partnership opens the door for sexual assault victims to receive a continuum of care including counseling , legal advocacy and crisis intervention free of charge from the Sexual Assault Center of Child and Family Services . "
by,use.01,The new area,,Affirmative,"The area will be used by local agencies providing sexual assault services such as Child and Family Services , the Child Abuse and Neglect Council and other members of the Sexual Assault Response Team , a multidisciplinary and inter-agency team of individuals who work to provide services for the community by offering specialized sexual assault intervention services , according to hospital officials . "
local agencies providing,provide.01,assault services,,Affirmative,"The area will be used by local agencies providing sexual assault services such as Child and Family Services , the Child Abuse and Neglect Council and other members of the Sexual Assault Response Team , a multidisciplinary and inter-agency team of individuals who work to provide services for the community by offering specialized sexual assault intervention services , according to hospital officials . "
individuals,work.01,to provide services for,,Affirmative,"The area will be used by local agencies providing sexual assault services such as Child and Family Services , the Child Abuse and Neglect Council and other members of the Sexual Assault Response Team , a multidisciplinary and inter-agency team of individuals who work to provide services for the community by offering specialized sexual assault intervention services , according to hospital officials . "
individuals,provide.01,services,for,Affirmative,"The area will be used by local agencies providing sexual assault services such as Child and Family Services , the Child Abuse and Neglect Council and other members of the Sexual Assault Response Team , a multidisciplinary and inter-agency team of individuals who work to provide services for the community by offering specialized sexual assault intervention services , according to hospital officials . "
services,offer.01,assault intervention services,,Affirmative,"The area will be used by local agencies providing sexual assault services such as Child and Family Services , the Child Abuse and Neglect Council and other members of the Sexual Assault Response Team , a multidisciplinary and inter-agency team of individuals who work to provide services for the community by offering specialized sexual assault intervention services , according to hospital officials . "
Margaret Bach,say.01,is overjoyed with,,Affirmative,"The Sexual Assault Center of Child and Family Services is overjoyed with Covenant HealthCare 's passion and commitment to victims of sexual assault , Bach said . "
the Covenant HealthCare Foundation,host.01,a series of,,Affirmative,"Every August , the Covenant HealthCare Foundation hosts a series of Red Carpet events to raise funds for a cause . "
A portion of,purchase.01,"a colposcope ,",,Affirmative,"A portion of the money raised at Red Carpet 2013 was used to purchase a colposcope , an advanced photo and video tool used in examinations , for the victim support area . "
you,upload.01,all content,,Affirmative,Community Rules apply to all content you upload or otherwise submit to this site . 
you,submit.01,all content,to,Affirmative,Community Rules apply to all content you upload or otherwise submit to this site . 
