A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
I,feel.02,their pain,,Affirmative,I feel their pain : I can remember similar feelings when Democrats - including some of those now attacking Mr. Rove - charged that Ronald Reagan was too old in 1980 and 1984 ; that Bob Dole was over the hill by 1996 ; and that John McCain should be dismissed as an ornery old man in 2012 . 
I,remember.01,similar feelings,,Affirmative,I feel their pain : I can remember similar feelings when Democrats - including some of those now attacking Mr. Rove - charged that Ronald Reagan was too old in 1980 and 1984 ; that Bob Dole was over the hill by 1996 ; and that John McCain should be dismissed as an ornery old man in 2012 . 
those,attack.01,Mr. Rove - charged,,Affirmative,I feel their pain : I can remember similar feelings when Democrats - including some of those now attacking Mr. Rove - charged that Ronald Reagan was too old in 1980 and 1984 ; that Bob Dole was over the hill by 1996 ; and that John McCain should be dismissed as an ornery old man in 2012 . 
that Ronald Reagan,put.01,concerns about,to bed,Affirmative,Reagan put concerns about his age and health to bed by campaigning vigorously in New Hampshire in 1980 and with openness and good humor in the Mondale debate in 1984 . 
that Ronald Reagan,release.01,his health records,,Affirmative,"He also released his health records and vowed that if he ever became medically unable to function as president , he would resign . "
that Ronald Reagan,vow.01,", he would resign",,Affirmative,"He also released his health records and vowed that if he ever became medically unable to function as president , he would resign . "
His obvious vigor,overcome.01,the rumors,,Affirmative,His obvious vigor both as candidate and president overcame the rumors and neither his age nor health prevented him from being elected and re-elected by overwhelming margins . 
neither his age nor health,prevent.01,that Ronald Reagan,from,Affirmative,His obvious vigor both as candidate and president overcame the rumors and neither his age nor health prevented him from being elected and re-elected by overwhelming margins . 
by,re-elect.01,that Ronald Reagan,,Affirmative,His obvious vigor both as candidate and president overcame the rumors and neither his age nor health prevented him from being elected and re-elected by overwhelming margins . 
no. Reagan,overcome.01,the questions,,Affirmative,"The answer is yes and no. Reagan overcame the questions himself even though they comprised one of the most feared attacks on him in 1980 , yet the same issues were raised again in 1984 and later against both Mr. Dole and Mr. McCain . "
Supporters,respond.01,to,,Affirmative,Supporters responded to the innuendo and attacks in much the way that Mrs. Clinton 's friends are responding today . 
either by,raise.01,issues,,Affirmative,"It may not be fair , but age and health are issues that are always raised either by the press , an older candidate 's opponent or both . "
openness and,turn.01,the issue,,Affirmative,"To argue that age and health should n't be issues wo n't wash , but Ronald Reagan proved in 1980 and 1984 that openness and good humor can turn the issue on one 's opponent . "
Even Hillary supporters,acknowledge.01,the legitimacy of,,Affirmative,"Even Hillary supporters who begrudgingly acknowledge the legitimacy of the issue argue that Mr. Rove 's comments were over the top , joining Republican Newt Gingrich who condemned Mr. Rove for his personal attack on Mrs. Clinton . "
Even Hillary supporters,argue.01,comments were over,,Affirmative,"Even Hillary supporters who begrudgingly acknowledge the legitimacy of the issue argue that Mr. Rove 's comments were over the top , joining Republican Newt Gingrich who condemned Mr. Rove for his personal attack on Mrs. Clinton . "
comments,join.01,Republican Newt Gingrich,,Affirmative,"Even Hillary supporters who begrudgingly acknowledge the legitimacy of the issue argue that Mr. Rove 's comments were over the top , joining Republican Newt Gingrich who condemned Mr. Rove for his personal attack on Mrs. Clinton . "
Republican Newt Gingrich,condemn.01,Mr. Rove,for,Affirmative,"Even Hillary supporters who begrudgingly acknowledge the legitimacy of the issue argue that Mr. Rove 's comments were over the top , joining Republican Newt Gingrich who condemned Mr. Rove for his personal attack on Mrs. Clinton . "
Mr. Rove,handle.01,things,,Affirmative,"Mr. Rove might have handled things differently , but it is hard to figure how questioning a candidate 's ability on the basis of his or her age or health can be taken as anything but personal . "
Clinton supporters and Democrats,think.01,age was,,Affirmative,Clinton supporters and Democrats thought Mr. Dole 's age was a problem . 
Rush Limbaugh,like.02,to call,,Affirmative,"Voters in the middle or the folks Rush Limbaugh likes to call low information voters , however , got the message by Election Day when , by a five to one margin , voters were concluding that Mr. Dole 's age was a problem . "
Rush Limbaugh,call.01,low information voters,,Affirmative,"Voters in the middle or the folks Rush Limbaugh likes to call low information voters , however , got the message by Election Day when , by a five to one margin , voters were concluding that Mr. Dole 's age was a problem . "
Voters in,get.01,the message,,Affirmative,"Voters in the middle or the folks Rush Limbaugh likes to call low information voters , however , got the message by Election Day when , by a five to one margin , voters were concluding that Mr. Dole 's age was a problem . "
