A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Police,identify.01,the man,,Affirmative,"Police have identified the man they say tried to rob a Hialeah pharmacy , Monday when he was shot and killed by the manager , Angel Navarro - Betancourt . "
Police,say.01,the man,,Affirmative,"Police have identified the man they say tried to rob a Hialeah pharmacy , Monday when he was shot and killed by the manager , Angel Navarro - Betancourt . "
by,kill.01,he,,Affirmative,"Police have identified the man they say tried to rob a Hialeah pharmacy , Monday when he was shot and killed by the manager , Angel Navarro - Betancourt . "
Hialeah police,say.01,was dead,,Affirmative,"The shooting occurred shortly after noon at 41 Health Mart Pharmacy , 820 E. 41 st St. Hialeah police said Victor Navarro , Jr , 24 , was dead when officers arrived . "
to interview witnesses and gather evidence,take.10,police hours,,Affirmative,It took police hours to interview witnesses and gather evidence . 
Police,say.01,Betancourt is cooperating with,,Affirmative,"Police said Navarro - Betancourt is cooperating with the investigation , and said it appears he was simply protecting himself and others in the store during the attempted armed robbery . "
Navarro - Betancourt,cooperate.01,with,,Affirmative,"Police said Navarro - Betancourt is cooperating with the investigation , and said it appears he was simply protecting himself and others in the store during the attempted armed robbery . "
Police,say.01,it appears,,Affirmative,"Police said Navarro - Betancourt is cooperating with the investigation , and said it appears he was simply protecting himself and others in the store during the attempted armed robbery . "
Angel Navarro-Betancourt,protect.01,himself and others,,Affirmative,"Police said Navarro - Betancourt is cooperating with the investigation , and said it appears he was simply protecting himself and others in the store during the attempted armed robbery . "
by,supply.01,No email address,,Affirmative,No email address was supplied by . 
you,have.03,subscription offers sent,,Affirmative,Please confirm or modify the email address to which you will have subscription offers sent . 
