A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
vilification of people arriving by boat,reach.01,the level,,Affirmative,The Government 's vilification of people arriving by boat has now reached the level where the term ' illegal ' features in the Budget documents . 
Minister Morrison,insist.01,on referring to people arriving by boat,,Affirmative,Immigration Minister Morrison has insisted on referring to people arriving by boat as ' illegals ' for some years . 
Minister Morrison,refer.01,to people arriving by boat,,Affirmative,Immigration Minister Morrison has insisted on referring to people arriving by boat as ' illegals ' for some years . 
Immigration Minister Morrison,direct.01,his staff,to refer to people,Affirmative,"When he became Minister , he directed his staff to refer to people as ' illegal ' , despite the Migration Act using the less pejorative term ' unlawful non-citizen ' . "
Immigration Minister Morrison,refer.01,to people,as ' illegal ',Affirmative,"When he became Minister , he directed his staff to refer to people as ' illegal ' , despite the Migration Act using the less pejorative term ' unlawful non-citizen ' . "
the Migration Act using,use.01,pejorative term ',,Affirmative,"When he became Minister , he directed his staff to refer to people as ' illegal ' , despite the Migration Act using the less pejorative term ' unlawful non-citizen ' . "
the Federal Government,insist.01,on,,Affirmative,"This is not just a lawyer 's linguistic debate ; if it were not important , the Government would not insist on the term . "
our Coast Watch people,use.01,a connotation of criminal behaviour,,Affirmative,"' Illegal ' has a connotation of criminal behaviour , and that is why they use it . "
people,receive.01,security payments,,Affirmative,"Using the term ' illegal '  in formal documents to describe boat arrivals is like calling people who receive social security payments ' dole bludgers ' , and insisting that bureaucrats use this term in documents and meetings . "
bureaucrats,use.01,this term,,Affirmative,"Using the term ' illegal '  in formal documents to describe boat arrivals is like calling people who receive social security payments ' dole bludgers ' , and insisting that bureaucrats use this term in documents and meetings . "
the Budget papers,have.03,a section entitled,,Affirmative,Yet the Budget papers have a section entitled ' Illegal Maritime Arrivals ( IMA ) Onshore and Offshore Management ' . 
We,treat.01,`` IMAs '',by refusing,Affirmative,We ' treat them with respect ' by refusing to give them permanent residence or family reunion . 
We,remove.01,access to,,Affirmative,We remove access to funded assistance with refugee applications and to any funded advice whatsoever . 
the Labor Government,grant.01,permanent residence,,Affirmative,"Those to whom the Labor Government ' recklessly ' granted permanent residence now have the lowest priority in sponsoring spouses and dependent children , which means years of waiting . "
Those to whom,have.03,the lowest priority in sponsoring spouses and,,Affirmative,"Those to whom the Labor Government ' recklessly ' granted permanent residence now have the lowest priority in sponsoring spouses and dependent children , which means years of waiting . "
the lowest priority in sponsoring spouses and,mean.01,years of waiting,,Affirmative,"Those to whom the Labor Government ' recklessly ' granted permanent residence now have the lowest priority in sponsoring spouses and dependent children , which means years of waiting . "
the Federal Government,state.01,its intention,,Affirmative,"The Government has stated its intention to reintroduce some form of temporary protection visa , despite reports by psychologists about the harm such a program caused in the Howard years , and two recent attempts to reintroduce it by regulation being disallowed in the Senate . "
people,obtain.01,migration and,,Affirmative,Previously people who arrived by boat or air without a visa and were taken to detention could obtain migration and legal advice . 
our Coast Watch people,do.02,the case,,Affirmative,"Without funded legal assistance in detention or in the community , people do the case themselves , or rely on pro bono help . "
our Coast Watch people,rely.01,on,,Affirmative,"Without funded legal assistance in detention or in the community , people do the case themselves , or rely on pro bono help . "
A few,have.03,funds,,Affirmative,A few may have funds to pay for private lawyers and agents . 
A few,pay.01,funds,,Affirmative,A few may have funds to pay for private lawyers and agents . 
the Federal Government,cease.01,funding,,Affirmative,Now the Government has ceased funding to help people with review cases in the Refugee or Migration Review Tribunal . 
the Federal Government,help.01,our Coast Watch people,,Affirmative,Now the Government has ceased funding to help people with review cases in the Refugee or Migration Review Tribunal . 
This cut,mean.01,more unrepresented applicants in,,Affirmative,This cut is short - sighted as it means more unrepresented applicants in a system which is legally complex . 
This,further.01,the militarisation of,,Affirmative,This furthers the militarisation of this humanitarian issue under Operation Sovereign Borders . 
We,dump.01,This,,Affirmative,"We dump them on Pacific processing colonies , and encourage them to return home to what they fled in the first place . "
We,encourage.01,This,to return home to,Affirmative,"We dump them on Pacific processing colonies , and encourage them to return home to what they fled in the first place . "
our Coast Watch people,have.03,days of mourning,,Affirmative,"In Italy , when boats sink and people drown , they have days of mourning , and the Pope calls it a vergogna  - disgrace / shameful . "
the Pope,call.01,Italy,disgrace / shameful,Affirmative,"In Italy , when boats sink and people drown , they have days of mourning , and the Pope calls it a vergogna  - disgrace / shameful . "
our Coast Watch people,assess.01,review cases in the Refugee or Migration Review Tribunal,,Affirmative,In Italy the naval operation is called Mare Nostram and their focus is on rescuing people at sea and bringing them onshore to assess their cases . 
we,call.01,Australia,' Operation Sovereign Borders ',Affirmative,"In Australia we call it ' Operation Sovereign Borders ' , vilify the asylum seekers and sub-contract dealing with their human rights to poor countries . "
we,vilify.01,the asylum seekers and,,Affirmative,"In Australia we call it ' Operation Sovereign Borders ' , vilify the asylum seekers and sub-contract dealing with their human rights to poor countries . "
Immigration Minister Morrison,claim.01,he has ' freed up ',,Affirmative,"In his Lowy Institute speech , Morrison claimed he has ' freed up ' 20,000 places in the refugee and humanitarian program over this and the next four years ' by ensuring their places are not taken by those who came illegally by boat ' . "
Mare Nostram,free.01,"20,000 places in",,Affirmative,"In his Lowy Institute speech , Morrison claimed he has ' freed up ' 20,000 places in the refugee and humanitarian program over this and the next four years ' by ensuring their places are not taken by those who came illegally by boat ' . "
Mare Nostram,ensure.01,their places,,Affirmative,"In his Lowy Institute speech , Morrison claimed he has ' freed up ' 20,000 places in the refugee and humanitarian program over this and the next four years ' by ensuring their places are not taken by those who came illegally by boat ' . "
the Coalition,reduce.01,the refugee and humanitarian program over this and the next four years ` by ensuring their places are not taken by those who came illegally by boat ',,Affirmative,"This is disingenuous , because firstly the Coalition reduced the program from 20,000 places annually to 13,750 , a 30 per cent cut . "
this,reduce.01,the number of visas,,Affirmative,"So really they have reduced the number of visas by 31,250 over five years . "
every person,grant.01,a visa,,Affirmative,"For every person who is granted a visa , whether onshore or in a camp or urban area overseas , thousands miss out . "
