A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
The Telecommunications Ministry,dismiss.01,media reports about,,Affirmative,"BERIUT : The Telecommunications Ministry dismissed media reports about the new rates for phone calls and Internet data , saying it would provide the official rates later this week . "
The Telecommunications Ministry,say.01,it would provide,,Affirmative,"BERIUT : The Telecommunications Ministry dismissed media reports about the new rates for phone calls and Internet data , saying it would provide the official rates later this week . "
The Telecommunications Ministry,provide.01,the official rates,,Affirmative,"BERIUT : The Telecommunications Ministry dismissed media reports about the new rates for phone calls and Internet data , saying it would provide the official rates later this week . "
by,circulate.01,the reports circulated by,,Affirmative,"Some of the reports circulated by media institutions and websites about lowering the rates for phone calls and Internet data are not accurate , the ministry said in a statement . "
The Telecommunications Ministry,say.01,are not accurate,,Affirmative,"Some of the reports circulated by media institutions and websites about lowering the rates for phone calls and Internet data are not accurate , the ministry said in a statement . "
Minister Boutros Harb,unveil.01,the new telecom rates,,Affirmative,"Telecommunications Minister Boutros Harb will unveil the new telecom rates at a press conference Friday , the statement said . "
a statement,say.01,Harb will unveil,,Affirmative,"Telecommunications Minister Boutros Harb will unveil the new telecom rates at a press conference Friday , the statement said . "
Some of the reports circulated by media institutions and websites about lowering the rates for phone calls and Internet data,invite.01,all our readers,to share with us,Affirmative,We invite all our readers to share with us their views and comments about this article . 
all our readers,share.01,their views and comments about,with us,Affirmative,We invite all our readers to share with us their views and comments about this article . 
by,submit.01,Comments submitted by,,Affirmative,Disclaimer : Comments submitted by third parties on this site are the sole responsibility of the individual ( s ) whose content is submitted . 
The Daily Star,accept.01,no responsibility for,,Affirmative,"The Daily Star accepts no responsibility for the content of comment ( s ) , including , without limitation , any error , omission or inaccuracy therein . "
