A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Nick Merrill,can'tâ discuss.01,the details of,,Affirmative,"Ten years later , Nick Merrill still can'tÂ discuss the details of theÂ data request that came hand delivered to him fromÂ the FBI . "
came hand,deliver.01,the details of,to him,Affirmative,"Ten years later , Nick Merrill still can'tÂ discuss the details of theÂ data request that came hand delivered to him fromÂ the FBI . "
Nick Merrill,say.01,people would be shocked by,,Affirmative,"If he could , Merrill says , people would be shocked by the implications for their online privacy . "
by,shock.01,people,,Affirmative,"If he could , Merrill says , people would be shocked by the implications for their online privacy . "
United States of Secrets,tell.01,the inside story of,,Affirmative,"Watch Part One of United States of Secrets , which tells the inside story of how the U.S. came to spy on millions of Americans . "
the U.S.,spy.01,on millions of Americans,,Affirmative,"Watch Part One of United States of Secrets , which tells the inside story of how the U.S. came to spy on millions of Americans . "
producer Martin Smith,investigate.01,role in,,Affirmative,"In Part Two , premiering tomorrow night , producer Martin Smith investigates Silicon Valley 's role in the dragnet . "
the government 's,ask.02,to turn over data on millions of,them,Affirmative,How did the nation 's biggest tech companies react when the government asked them to turn over data on millions of ordinary Americans ? 
the nation 's biggest tech companies,turn.12,data,,Affirmative,How did the nation 's biggest tech companies react when the government asked them to turn over data on millions of ordinary Americans ? 
they,help.01,toÂ dramatically expand,,Affirmative,"The letters are not well known , but since 9/11 they 've helped toÂ dramatically expand the government 's ability to collect information about Americans directly from phone companies and Internet providers . "
they,expand.01,ability,toÂ dramatically,Affirmative,"The letters are not well known , but since 9/11 they 've helped toÂ dramatically expand the government 's ability to collect information about Americans directly from phone companies and Internet providers . "
Any FBI office,issue.01,an NSL,,Affirmative,"Any FBI office can issue an NSL , without a court 's review and with a gag order . "
Nick Merrill,discuss.01,a National Security Letter,with,Affirmative,"Merrill was not even sure he could discuss the letter with his attorney , but unconvinced the order was legal , he choseÂ to challenge it on constitutional grounds . "
Nick Merrill,challenge.01,a National Security Letter,,Affirmative,"Merrill was not even sure he could discuss the letter with his attorney , but unconvinced the order was legal , he choseÂ to challenge it on constitutional grounds . "
The decision,set.01,Nick Merrill,apart,Affirmative,The decision set Merrill apart . 
phone company,question.01,the constitutionality of,,Affirmative,"Until 2013 , no major Internet or phone company is known to have questioned the constitutionality of a National Security Letter . "
revelations by,show.01,companies have often aided,,Affirmative,"And while revelations by former NSA contractor Edward Snowden have shown that tech companies have often aided government surveillance unwittingly , the industry 's broad compliance with NSLs underscores its frequentÂ roleÂ as a partner . "
the nation 's biggest tech companies,aid.01,government surveillance,,Affirmative,"And while revelations by former NSA contractor Edward Snowden have shown that tech companies have often aided government surveillance unwittingly , the industry 's broad compliance with NSLs underscores its frequentÂ roleÂ as a partner . "
broad compliance with NSLs,underscore.01,its frequentÂ roleÂ as,,Affirmative,"And while revelations by former NSA contractor Edward Snowden have shown that tech companies have often aided government surveillance unwittingly , the industry 's broad compliance with NSLs underscores its frequentÂ roleÂ as a partner . "
comments,violate.01,right to privacy,,Affirmative,"Readers ' comments that include profanity , obscenity , personal attacks , harassment , or are defamatory , sexist , racist , violate a third party 's right to privacy , or are otherwise inappropriate , will be removed . "
by someone other than,sign.02,Entries,,Affirmative,Entries that are unsigned or are signed by someone other than the actual author will be removed . 
We,reserve.01,a third party 's right,,Affirmative,We reserve the right to not post comments that are more than 400 words . 
We,take.01,steps,,Affirmative,"We will take steps to block users who repeatedly violate our commenting rules , terms of use , or privacy policies . "
We,block.01,users,,Affirmative,"We will take steps to block users who repeatedly violate our commenting rules , terms of use , or privacy policies . "
users,violate.01,"our commenting rules , terms of use , or",,Affirmative,"We will take steps to block users who repeatedly violate our commenting rules , terms of use , or privacy policies . "
by,provided.01,Major funding for FRONTLINE,,Affirmative,Major funding for FRONTLINE is provided by The John D. and Catherine T. MacArthur Foundation . 
by,provided.01,Additional funding,,Affirmative,"Additional funding is provided by the Park Foundation , The Ford Foundation , the Wyncote Foundation , and the FRONTLINE Journalism Fund with major support from Jon and Jo Ann Hagler on behalf of the Jon L. Hagler Foundation . "
