A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Malaysiaâ€™s Nicol David,gain.02,some compensation for,,Affirmative,KINGSTON HULL : Malaysiaâ€™s Nicol David gained some compensation for the loss of her world title in her home state of Penang last month by regaining the British Open in Laura Massaroâ€™s native country on Sunday . 
Malaysiaâ€™s Nicol David,regain.01,the British Open in,,Affirmative,KINGSTON HULL : Malaysiaâ€™s Nicol David gained some compensation for the loss of her world title in her home state of Penang last month by regaining the British Open in Laura Massaroâ€™s native country on Sunday . 
"David ,",win.01,8-11,,Affirmative,"David , the world number one , won 8-11 , 11-5 , 11-7 , 11-8 against Englandâ€™s world champion Massaro , who beat her in last yearâ€™s British Open final , played outdoors at the same venue . "
"champion Massaro ,",beat.01,Englanda,,Affirmative,"David , the world number one , won 8-11 , 11-5 , 11-7 , 11-8 against Englandâ€™s world champion Massaro , who beat her in last yearâ€™s British Open final , played outdoors at the same venue . "
the world number one,mean.01,the world,to me,Affirmative,â€œI am so pleased -- it means the world to me . 
David,say.01,It was,,Affirmative,"It was so close -- there wasnâ€™t much in it , â€� said David after winning her fifth British Open title and first since 2012 . "
Gregory Gaultier,produce.01,a stunning performance to,,Affirmative,"There was further English disappointment in the menâ€™s final where Franceâ€™s world number one Gregory Gaultier produced a stunning performance to outplay world champion Nick Matthew 11-3 , 11-6 , 11-2 . "
you,have.03,information,,Affirmative,Do you have information you wish to share with Dawn.com ? 
you,wish.01,to share with Dawn.com,,Affirmative,Do you have information you wish to share with Dawn.com ? 
you,share.01,information,with Dawn.com,Affirmative,Do you have information you wish to share with Dawn.com ? 
You,share.01,"news tips , reports and",,Affirmative,"You can email our News Desk to share news tips , reports and general feedback . "
you,have.03,an opinion or narrative,,Affirmative,"You can also email the Blog Desk if you have an opinion or narrative to share , or reach out to the Special Projects Desk to send us your Photos , or Videos . "
