A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
You,enter.01,the verification code,,Affirmative,• You must enter the verification code below to send . 
Libyan authorities,seek.01,international help in apprehending,,Affirmative,LONDON -- Libyan authorities are seeking international help in apprehending a former senior official in Moammar Gadhafi 's government who has been under investigation for alleged crimes including embezzlement and abuse of office . 
Interpol,publish.01,called Red Notice seeking,,Affirmative,"Interpol last week published a so - called Red Notice seeking Ali Dabaiba , who ran Libya 's main government - contracting office for decades during the Gadhafi era . "
called Red Notice seeking,seek.01,"Ali Dabaiba ,",,Affirmative,"Interpol last week published a so - called Red Notice seeking Ali Dabaiba , who ran Libya 's main government - contracting office for decades during the Gadhafi era . "
"Ali Dabaiba ,",run.01,contracting office,,Affirmative,"Interpol last week published a so - called Red Notice seeking Ali Dabaiba , who ran Libya 's main government - contracting office for decades during the Gadhafi era . "
by,want.01,Mr. Dabaiba 's,,Affirmative,"The notice , posted on Interpol 's website , said Mr. Dabaiba is wanted by the judicial authorities of Libya for prosecution / to serve a sentence . "
prosecution /,serve.01,a sentence,,Affirmative,"The notice , posted on Interpol 's website , said Mr. Dabaiba is wanted by the judicial authorities of Libya for prosecution / to serve a sentence . "
A lawyer for,have.03,no immediate comment,,Affirmative,A lawyer for Mr. Dabaiba had no immediate comment . 
An Interpol spokeswoman,say.01,notice was published on Thursday,,Affirmative,An Interpol spokeswoman said the notice was published on Thursday at the request of Libyan authorities . 
The Interpol notice,say.01,"include embezzlement ,",,Affirmative,"The Interpol notice says the allegations against Mr. Dabaiba , 68 years old , include embezzlement , money laundering , abuse of power and other crimes . "
Notice system,help.01,enforcement authorities,,Affirmative,Interpol 's Red Notice system is designed to help law - enforcement authorities in one country get assistance from other countries to track down and apprehend suspects . 
website,say.01,alerts are,,Affirmative,"Interpol 's website says that the alerts are to seek the location and arrest of wanted persons with a view to extradition or similar lawful action , and that the notices are issued on the basis of a valid national arrest warrant . "
the alerts,seek.01,the location and arrest of,,Affirmative,"Interpol 's website says that the alerts are to seek the location and arrest of wanted persons with a view to extradition or similar lawful action , and that the notices are issued on the basis of a valid national arrest warrant . "
Libyan authorities,try.01,to recoup,,Affirmative,"As Libyan authorities try to recoup tens of billions of dollars in assets they believe were looted during Gadhafi 's reign , Mr. Dabaiba 's family has been one focus , according to the investigators and documents submitted to British law - enforcement authorities . "
Libyan authorities,recoup.01,tens of billions of dollars,,Affirmative,"As Libyan authorities try to recoup tens of billions of dollars in assets they believe were looted during Gadhafi 's reign , Mr. Dabaiba 's family has been one focus , according to the investigators and documents submitted to British law - enforcement authorities . "
Libyan authorities,believe.01,were looted during,,Affirmative,"As Libyan authorities try to recoup tens of billions of dollars in assets they believe were looted during Gadhafi 's reign , Mr. Dabaiba 's family has been one focus , according to the investigators and documents submitted to British law - enforcement authorities . "
restrictions on him,leave.01,one country get assistance from other countries to track down and apprehend suspects,,Affirmative,"Unlike some former government officials who are under investigation , Mr. Dabaiba has n't been subject to restrictions on him leaving the country , according to both Libya 's asset - freeze law and the Libyan attorney general 's office . "
Libyan investigators,scrutinize.01,investments,,Affirmative,"Among the Dabaiba family 's investments Libyan investigators have been scrutinizing is a 2011 investment in a posh British real - estate agency , Chesterton Humberts , according to people familiar with the investigation and a person close to the family . "
Chesterton Humberts,say.01,family are not shareholders and,,Affirmative,Chesterton Humberts said on Twitter this month that the Dabaiba family are not shareholders and that the company has never been approached by Libyan government or any law - enforcement agency . 
The tweets,address.02,Mr. Dabaiba 's family,,Affirmative,The tweets did n't address whether the Dabaiba family previously invested in Chesterton Humberts . 
Mr. Dabaiba 's,leave.01,one country get assistance from other countries to track down and apprehend suspects,,Affirmative,"As recently as April , Mr. Dabaiba was living in the Libyan port city of Misrata , although he regularly left the country , said people who know him . "
Mr. Dabaiba 's,say.01,people,,Affirmative,"As recently as April , Mr. Dabaiba was living in the Libyan port city of Misrata , although he regularly left the country , said people who know him . "
people,know.01,Mr. Dabaiba 's,,Affirmative,"As recently as April , Mr. Dabaiba was living in the Libyan port city of Misrata , although he regularly left the country , said people who know him . "
audit agency,say.01,it found,,Affirmative,Libya 's audit agency said it found multiple questionable financial decisions at Libya 's Organization for Development of Administrative Centers when Mr. Dabaiba was in charge . 
Libya 's audit agency,find.01,multiple questionable financial decisions,,Affirmative,Libya 's audit agency said it found multiple questionable financial decisions at Libya 's Organization for Development of Administrative Centers when Mr. Dabaiba was in charge . 
Supporters of,say.01,financial support for,,Affirmative,Supporters of Mr. Dabaiba say his family 's financial support for the 2011 revolution that ultimately overthrew Gadhafi makes up for any alleged misdeeds during his years at ODAC . 
Moammar Gadhafi 's,make.16,for,,Affirmative,Supporters of Mr. Dabaiba say his family 's financial support for the 2011 revolution that ultimately overthrew Gadhafi makes up for any alleged misdeeds during his years at ODAC . 
You,enter.01,the verification code,,Affirmative,• You must enter the verification code below to send . 
