A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Australian employment law,see.01,come into effect,,Affirmative,Australian employment law has seen a number of changes come into effect this year and several more are on the horizon . 
"January 1 ,",enable.01,to seek orders from,workers,Affirmative,"The new anti-bullying laws came into effect January 1 , which enabled workers to seek orders from the Fair Work Commission to stop workplace bullying . "
workers,seek.01,orders from,,Affirmative,"The new anti-bullying laws came into effect January 1 , which enabled workers to seek orders from the Fair Work Commission to stop workplace bullying . "
workers,stop.01,workplace bullying,,Affirmative,"The new anti-bullying laws came into effect January 1 , which enabled workers to seek orders from the Fair Work Commission to stop workplace bullying . "
Quarterly,review.01,have been,,Affirmative,According to law firm Simpson Grierson 's First Quarter 2014 Asia Employment Law : Quarterly Review some of our neighbouring countries have been just as busy when it comes developments in employment legislation . 
Bill,make.01,its way,,Affirmative,It 's shaping up to be a year of change in New Zealand employment law with the Health and Safety Reform Bill currently making its way through parliament . 
"Relations Amendment Bill ,",change.01,the way,,Affirmative,"Also going through that process is the Employment Relations Amendment Bill , which will change the way unions can negotiate and how strikes can be carried out . "
Reform Bill,aim.01,to replicate,,Affirmative,The Health and Safety Reform Bill also aims to replicate the Australian system for workplace health and safety . 
Reform Bill,replicate.01,the Australian system for,,Affirmative,The Health and Safety Reform Bill also aims to replicate the Australian system for workplace health and safety . 
Kong lawmakers,look.04,to update,,Affirmative,Along with reviewing the minimum wage Hong Kong lawmakers are currently looking to update their Paternity Leave legislation . 
Kong lawmakers,update.01,Paternity Leave legislation,,Affirmative,Along with reviewing the minimum wage Hong Kong lawmakers are currently looking to update their Paternity Leave legislation . 
their Paternity,leave.01,legislation,,Affirmative,Along with reviewing the minimum wage Hong Kong lawmakers are currently looking to update their Paternity Leave legislation . 
The draft legislation,see.01,every male employee,,Affirmative,  The draft legislation would see every male employee who is employed under a continuous contract entitled to three days paternity leave where he is identified as the father . 
