A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
( RIA Novosti ) -,accuse.01,LifeNews journalists detained Sunday in,,Affirmative,"KIEV , May 19 ( RIA Novosti ) - The deputy head of Ukraine 's National Security and Defense Council has accused LifeNews journalists detained Sunday in eastern Ukraine of supporting terrorism in the region and announced that Ukrainian law enforcement officers are ready to draw the appropriate conclusions . "
LifeNews journalists detained Sunday in,support.01,terrorism,,Affirmative,"KIEV , May 19 ( RIA Novosti ) - The deputy head of Ukraine 's National Security and Defense Council has accused LifeNews journalists detained Sunday in eastern Ukraine of supporting terrorism in the region and announced that Ukrainian law enforcement officers are ready to draw the appropriate conclusions . "
LifeNews journalists detained Sunday in,announce.01,officers are ready,,Affirmative,"KIEV , May 19 ( RIA Novosti ) - The deputy head of Ukraine 's National Security and Defense Council has accused LifeNews journalists detained Sunday in eastern Ukraine of supporting terrorism in the region and announced that Ukrainian law enforcement officers are ready to draw the appropriate conclusions . "
enforcement officers,draw.02,the appropriate conclusions,,Affirmative,"KIEV , May 19 ( RIA Novosti ) - The deputy head of Ukraine 's National Security and Defense Council has accused LifeNews journalists detained Sunday in eastern Ukraine of supporting terrorism in the region and announced that Ukrainian law enforcement officers are ready to draw the appropriate conclusions . "
media,support.01,contributes to promoting terrorism,,Affirmative,The so - called LifeNews journalists Oleg Sidyakin and Marat Saichenko are a vivid example of how media support contributes to promoting terrorism . 
Victoria Siumar,say.01,They are part of,,Affirmative,"They are part of de facto terrorist groups , Victoria Siumar said in a statement posted on her Facebook account . "
by,prepare.01,the corresponding conclusions in relation to Sidyakin and Saichenko,,Affirmative,"And the corresponding conclusions in relation to Sidyakin and Saichenko are now being prepared by Ukrainian law enforcement agencies , she added . "
LifeNews,add.01,are now being prepared by,,Affirmative,"And the corresponding conclusions in relation to Sidyakin and Saichenko are now being prepared by Ukrainian law enforcement agencies , she added . "
by,detain.01,The LifeNews journalists,,Affirmative,The LifeNews journalists were detained by the Ukrainian National Guard near the city of Kramatorsk in the Donetsk region on Sunday . 
"News Media Holding ,",own.01,LifeNews,,Affirmative,"News Media Holding , which owns LifeNews , has already requested the Russian foreign ministry assist in securing their release . "
"News Media Holding ,",request.01,ministry assist in securing,,Affirmative,"News Media Holding , which owns LifeNews , has already requested the Russian foreign ministry assist in securing their release . "
Minister Sergei Lavrov,urge.01,the Organization for Security and Co-operation in Europe,to take,Affirmative,Russian Foreign Minister Sergei Lavrov has urged the Organization for Security and Co-operation in Europe ( OSCE ) to take all necessary measures to ensure the release of the journalists . 
the Organization for Security and Co-operation in Europe,take.01,all necessary measures,,Affirmative,Russian Foreign Minister Sergei Lavrov has urged the Organization for Security and Co-operation in Europe ( OSCE ) to take all necessary measures to ensure the release of the journalists . 
The Russian Embassy in Kiev,say.01,it sees,,Affirmative,The Russian Embassy in Kiev said it sees a systematic manhunt for Russian journalists conducted by Ukrainian special forces as an infringement on the freedom of speech and called for an immediate release of the detained journalists . 
The Russian Embassy in Kiev,see.01,a systematic manhunt for,,Affirmative,The Russian Embassy in Kiev said it sees a systematic manhunt for Russian journalists conducted by Ukrainian special forces as an infringement on the freedom of speech and called for an immediate release of the detained journalists . 
by,conduct.01,Russian journalists conducted by,,Affirmative,The Russian Embassy in Kiev said it sees a systematic manhunt for Russian journalists conducted by Ukrainian special forces as an infringement on the freedom of speech and called for an immediate release of the detained journalists . 
Presidential Council for,contact.01,Ukrainian Parliament Commissioner,,Affirmative,"Russia 's Presidential Council for Civil Society and Human Rights has contacted Ukrainian Parliament Commissioner for Human Rights Valeriya Lutkovskaya to shed light on the situation , Chairman of the Human Rights Council Mikhail Fedotov said . "
Rights Valeriya Lutkovskaya,shed.01,light,,Affirmative,"Russia 's Presidential Council for Civil Society and Human Rights has contacted Ukrainian Parliament Commissioner for Human Rights Valeriya Lutkovskaya to shed light on the situation , Chairman of the Human Rights Council Mikhail Fedotov said . "
You,place.01,this material,on,Affirmative,You may place this material on your blog by copying the link . 
