A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
an agreement,bring.01,an end,to,Affirmative,"( NASDAQ:AAPL ) and Samsung Electrontronics Co. Ltd. ( KRX:005930 ) might be nearing an agreement that could bring an end to patent infringement cases between the tech rivals , the Korea Times reports . "
the Korea Times,report.01,might be nearing,,Affirmative,"( NASDAQ:AAPL ) and Samsung Electrontronics Co. Ltd. ( KRX:005930 ) might be nearing an agreement that could bring an end to patent infringement cases between the tech rivals , the Korea Times reports . "
jurors,award.01,Apple more than $ 119 million,,Affirmative,"The deal comes as one of the largest of several such cases between them closes , with jurors awarding Apple more than $ 119 million and Samsung just over $ 158,000 . "
Samsung,resume.01,level discussions with Apple and,,Affirmative,"Samsung has recently resumed working - level discussions with Apple and the key issue is how to dismiss all lawsuits , said a source directly involved in the matter who declined to be named . "
a source,say.01,is,,Affirmative,"Samsung has recently resumed working - level discussions with Apple and the key issue is how to dismiss all lawsuits , said a source directly involved in the matter who declined to be named . "
California jurors,find.02,Apple guilty of infringing on,,Affirmative,"The fact that California jurors found Apple guilty of infringing on Samsung 's patents aided the discussions , the source said . "
Apple,infringe.01,on,,Affirmative,"The fact that California jurors found Apple guilty of infringing on Samsung 's patents aided the discussions , the source said . "
the source,say.01,aided,,Affirmative,"The fact that California jurors found Apple guilty of infringing on Samsung 's patents aided the discussions , the source said . "
the agreement,take.01,time,,Affirmative,But the agreement will take time to come to fruition as the parties need to discuss royalties and licensing foundations prior to settling . 
the parties,need.01,to discuss royalties and,,Affirmative,But the agreement will take time to come to fruition as the parties need to discuss royalties and licensing foundations prior to settling . 
the parties,discuss.01,royalties and,,Affirmative,But the agreement will take time to come to fruition as the parties need to discuss royalties and licensing foundations prior to settling . 
by each before reaching,own.01,patents owned by each before reaching,,Affirmative,"Some more time will be needed to fix terms of details such as royalty payments in return for using patents owned by each before reaching a full agreement , the source said . "
the source,say.01,time will be needed,,Affirmative,"Some more time will be needed to fix terms of details such as royalty payments in return for using patents owned by each before reaching a full agreement , the source said . "
a jury,award.01,more than $ 1 billion,Apple,Affirmative,"In 2012 , a jury awarded Apple more than $ 1 billion ( later reduced to $ 930 million ) in damages for Samsung infringing on iPhone patents . "
Samsung,infringe.01,on,,Affirmative,"In 2012 , a jury awarded Apple more than $ 1 billion ( later reduced to $ 930 million ) in damages for Samsung infringing on iPhone patents . "
