A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
TAXILA :,say.01,groundwork to introduce Arabic into,,Affirmative,"TAXILA : Federal Minister for Religious Affairs Sardar Mohammad Yousaf said this Saturday that groundwork to introduce Arabic into the curriculum , as a compulsory language up to the senior secondary ( SSC ) level , has been completed . "
that groundwork,introduce.02,"Arabic , during Zia 's regime",into,Affirmative,"TAXILA : Federal Minister for Religious Affairs Sardar Mohammad Yousaf said this Saturday that groundwork to introduce Arabic into the curriculum , as a compulsory language up to the senior secondary ( SSC ) level , has been completed . "
Federal Minister for Religious Affairs Sardar Mohammad Yousaf,add.01,project would be initiated in,,Affirmative,"Speaking to the press at Wah Cantonment on Sunday , the minister added that the project would be initiated in Khyber Pakhtunkhwa ( KPK ) before being phased into other provinces . "
Federal Minister for Religious Affairs Sardar Mohammad Yousaf,discuss.01,the upcoming Haj operation saying,,Affirmative,"The minister also discussed the upcoming Haj operation saying that all possible facilities will be provided to pilgrims from both public and private sectors , including an improved bus service in Saudi Arabia . "
the upcoming Haj operation saying,say.01,facilities will be provided to pilgrims from,,Affirmative,"The minister also discussed the upcoming Haj operation saying that all possible facilities will be provided to pilgrims from both public and private sectors , including an improved bus service in Saudi Arabia . "
Federal Minister for Religious Affairs Sardar Mohammad Yousaf,add.01,policy had also been finalised and,,Affirmative,He added that a draft Haj policy had also been finalised and that an electronic Haj monitoring system was being introduced . 
Federal Minister for Religious Affairs Sardar Mohammad Yousaf,say.01,Haj would be exemplary,,Affirmative,The minister said this yearâ€™s Haj would be exemplary as the government is making every effort to facilitate the pilgrims . 
Mr Yousaf,say.01,applicants will be selected under,,Affirmative,"Mr Yousaf also said that , according to the new Haj policy , 57,000 applicants will be selected under the governmentâ€™s scheme this year . "
Mr Yousaf,add.01,applications have already been received and,,Affirmative,"He added that 127,000 applications have already been received and that the selection process will end by May 20 . "
Federal Minister for Religious Affairs Sardar Mohammad Yousaf,say.01,pilgrims will be vaccinated for meningitis and,,Affirmative,"The minister said that , during their stay at the Haji camp , the pilgrims will be vaccinated for meningitis and other diseases . "
Federal Minister for Religious Affairs Sardar Mohammad Yousaf,say.01,had provided,,Affirmative,He said that the government of Turkey had provided the meningitis vaccines and that all the pilgrims would receive it free of cost . 
the government of Turkey,provided.01,the meningitis vaccines,,Affirmative,He said that the government of Turkey had provided the meningitis vaccines and that all the pilgrims would receive it free of cost . 
all the pilgrims,receive.01,the government of Turkey,,Affirmative,He said that the government of Turkey had provided the meningitis vaccines and that all the pilgrims would receive it free of cost . 
you,have.03,information,,Affirmative,Do you have information you wish to share with Dawn.com ? 
you,wish.01,to share with Dawn.com,,Affirmative,Do you have information you wish to share with Dawn.com ? 
you,share.01,information,with Dawn.com,Affirmative,Do you have information you wish to share with Dawn.com ? 
You,share.01,"news tips , reports and",,Affirmative,"You can email our News Desk to share news tips , reports and general feedback . "
you,have.03,an opinion or narrative,,Affirmative,"You can also email the Blog Desk if you have an opinion or narrative to share , or reach out to the Special Projects Desk to send us your Photos , or Videos . "
official Nazeer Ahmed,tell.01,that militants had planted explosives inside,Dawn,Affirmative,Police official Nazeer Ahmed told Dawn that militants had planted explosives inside the shrine of Sheikh Taqi Baba . 
militants,plant.01,explosives,inside,Affirmative,Police official Nazeer Ahmed told Dawn that militants had planted explosives inside the shrine of Sheikh Taqi Baba . 
League government,have.03,ministers,,Affirmative,"The N - League government has ministers who do not know what are their official responsibilities , and where they are doing work of another ministry . "
ministers,know.01,what are,,Affirmative,"The N - League government has ministers who do not know what are their official responsibilities , and where they are doing work of another ministry . "
militants,do.02,work of,,Affirmative,"The N - League government has ministers who do not know what are their official responsibilities , and where they are doing work of another ministry . "
led coalition,do.02,such things,,Affirmative,In KP PTI led coalition is entitled to do such things . 
the students,have.03,the option,,Affirmative,Students should have the option to choose between Urdu or Arabic as the first and second language . 
"Arabic , during Zia 's regime",combat.01,extremism,,Affirmative,"Arabic is an excellent language to learn , not only in perspective to religion due to which it will combat extremism when people actually know what they are reading in the Quran as opposed to just learning , memorizing and recitation but arabic is also widely spoken in africa and across the middle east . "
