'actor0', 'A0', 'Verb', 'A1', 'A2', 'Polarity', 'Sentence', 'actor1', 'File Name', 'Date'
'Australia', 'mt FOB Australia', 'use.01', 'a Panamax freight , or', '', 'Affirmative', 'This was $ 99.75 / mt FOB Australia using a Panamax freight , or $ 104.25 / mt FOB using a Capesize netback . ', 'Panama', 'newsText2845', 2014\05\19
'Burma', 'Burma', 'beat.01', 'Vietnam 4-3', '', 'Affirmative', 'Burma won the ASEAN Youth Football Championship 2014 after beating Vietnam 4-3 in the final on Saturday , a thrilling encounter , in which Aung Thu scored the winning goal in the 82nd minute . ', 'Vietnam', 'newsText2804', 2014\05\19
'Chile', 'both Chilean and Argentinian Patagonia', 'find.03', 'both Chilean and Argentinian Patagonia', '', 'Affirmative', "Locals talk often of a Patagonian identity , spanning both Chilean and Argentinian Patagonia , shaped by their distance from their country 's centers and the wild isolation which they find themselves in . ", 'Chile', 'newsText3045', 2014\05\19
'China', 'BEIJING - China', 'buy.01', 'Russian gas', '', 'Affirmative', 'BEIJING - China plans to sign a multibillion - dollar deal to buy Russian gas during a visit by President Vladimir Putin next week despite U.S. pressure to avoid undermining sanctions on Moscow over the Ukraine crisis . ', 'Russia', 'newsText2601', 2014\05\19
'China', 'China', 'accuse.01', 'Vietnamese ships of', '', 'Affirmative', "' We are not afraid of trouble ' China , for its part , has continued to accuse Vietnamese ships of similar acts , saying they are trying to disrupt the oil rig 's drilling operation . ", 'Vietnam', 'newsText2477', 2014\05\19
'China', "China 's", 'castigate.01', 'the Vietnamese government', 'for failing', 'Affirmative', "Vietnam claims the rig 's presence is illegal , while China says it has every right to drill and has castigated the Vietnamese government for failing to ensure the safety of its nationals . ", 'Vietnam', 'newsText2477', 2014\05\19
'China', 'China Hydro International', 'collaborate.01', 'with Nigerians for investment in', '', 'Affirmative', 'Earlier , Yang told the minister that China Hydro International was interested in collaborating with Nigerians for investment in all sectors of renewable energy . ', 'Nigeria', 'newsText2869', 2014\05\19
'China', 'Chinese authorities', 'say.01', 'Chinese had already been evacuated from Vietnam', '', 'Affirmative', "Chinese authorities said Sunday that more than 3,000 Chinese had already been evacuated from Vietnam after protests over China 's decision to move an oil rig into disputed waters of the South China Sea spiraled into riots last week in which foreign - owned factories were burned and looted . ", 'Vietnam', 'newsText2477', 2014\05\19
'China', 'Chinese leaders', 'get.01', 'Russian gas', '', 'Affirmative', 'Chinese leaders are also eager to get Russian gas to help curb pollution by reducing reliance on coal . ', 'Russia', 'newsText2601', 2014\05\19
'China', 'Chinese people', 'travel.01', 'to Vietnam', '', 'Affirmative', 'Beijing has also warned Chinese people not to travel to Vietnam and said it will suspend some planned bilateral exchanges with Hanoi , according to Xinhua . ', 'Vietnam', 'newsText2477', 2014\05\19
'China', 'a deputy Chinese foreign minister ,', 'tell.01', 'We are still exchanging views with Moscow', 'reporters', 'Affirmative', "We are still exchanging views with Moscow and we will try our best to ensure that this contract can be signed and witnessed by the two presidents during President Putin 's visit to China , a deputy Chinese foreign minister , Cheng Guoping , told reporters on Thursday . ", 'Russia', 'newsText2601', 2014\05\19
'Czech Republic', 'The Czech Republic', 'renew.01', 'its lease of Gripens and Brazil', '', 'Affirmative', 'The Czech Republic last week renewed its lease of Gripens and Brazil has ordered the aircraft . ', 'Brazil', 'newsText3025', 2014\05\19
'Greece', 'pipeline project ( TANAP ) connecting Turkey and Greece', 'connect.01', 'Turkey and Greece', '', 'Affirmative', "Australia 's WorleyParsons has won a contract for the $ 11.7 billion Trans Anatolian natural gas pipeline project ( TANAP ) connecting Turkey and Greece . ", 'Turkey', 'newsText2543', 2014\05\19
'India', 'Indian Border Security Force ( BSF )', 'beat.01', 'a Bangladeshi cattle trader on', 'to death', 'Affirmative', 'Indian Border Security Force ( BSF ) allegedly beat to death a Bangladeshi cattle trader on Putkhali border under Benapole Port Police Station early yesterday . ', 'Bangladesh', 'newsText2707', 2014\05\19
'India', "This increasing marginalisation of the Muslims from India 's public spaces", 'have.03', 'dangerous implications for India', '', 'Affirmative', 'If they are pushed away from democratic structures , it can have dangerous implications for India . ', 'India', 'newsText2517', 2014\05\19
'India', 'the Indian telco', 'acquire.01', 'The IT services arm of Indian firm Tech Mahindra , formed from the scandal-hit service firm Satyam', '', 'Affirmative', 'The IT services arm of Indian firm Tech Mahindra , formed from the scandal - hit service firm Satyam , says it is is eyeing up a top 10 spot in the UK market one year after killing off the Satyam name and five years after the Indian telco acquired it . ', 'India', 'newsText2833', 2014\05\19
'Libya', 'a real honour for Smartcity to represent the Libyan retail channel at DISTREE Middle East', 'develop.02', 'its Libyan retail operation', '', 'Affirmative', 'Smartphones and tablets are increasingly important product categories for Smartcity as it develops its Libyan retail operation . ', 'Libya', 'newsText2569', 2014\05\19
'Niger', 'Nigeria', 'partner.01', 'countries like China', '', 'Affirmative', 'The minister added that Nigeria was ready to partner countries like China to develop its power sector . ', 'China', 'newsText2869', 2014\05\19
'Nigeria', 'Nigeria', 'partner.01', 'countries like China', '', 'Affirmative', 'The minister added that Nigeria was ready to partner countries like China to develop its power sector . ', 'China', 'newsText2869', 2014\05\19
'Russia', 'Jewish people from across Europe and Russia', 'immigrate.01', 'to Argentina', '', 'Affirmative', 'Jewish people from across Europe and Russia have been immigrating to Argentina for hundreds of years . ', 'Argentina', 'newsText3038', 2014\05\19
'Russia', 'President Vladimir Putin', 'meet.03', 'President Xi Jinping', '', 'Affirmative', 'Putin is due to meet Chinese President Xi Jinping during a two - day conference on Asian security that starts Tuesday in Shanghai . ', 'China', 'newsText2601', 2014\05\19
'Russia', 'Russian expert Bill Browder in an interview', 'convince.01', 'Ottawa', 'to adopt', 'Affirmative', 'He visited Canada this month to convince Ottawa to adopt a version of the Magnitsky Law passed in 2012 that he proposed . ', 'Canada', 'newsText2983', 2014\05\19
