A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
you,consent.01,to,,Affirmative,"By using this website , you consent to our use of cookies . "
the latter,have.03,no Dáil seats,,Affirmative,Seats in all three constituencies for both Sinn Féin and a resurgent Fianna Fáil ( including in Dublin where the latter currently has no Dáil seats ) . 
veteran Independent,lose.03,her seat,to,Affirmative,A veteran Independent probably losing her seat to a maverick . 
Sample sizes and,mean.01,warning is certainly necessary,,Affirmative,Sample sizes and the vagaries of transfers of preferences mean that a health warning is certainly necessary . 
The poll,suggest.01,result will be determined by,,Affirmative,The poll suggests the result will be determined by the division of Emer Costello 's ( Labour ) second preferences - a predicted even split would just allow Fitzpatrick snatch the seat . 
by,determine.01,the result,,Affirmative,The poll suggests the result will be determined by the division of Emer Costello 's ( Labour ) second preferences - a predicted even split would just allow Fitzpatrick snatch the seat . 
second preferences - a,predict.01,split would just allow,,Affirmative,The poll suggests the result will be determined by the division of Emer Costello 's ( Labour ) second preferences - a predicted even split would just allow Fitzpatrick snatch the seat . 
even split,allow.01,Fitzpatrick snatch,,Affirmative,The poll suggests the result will be determined by the division of Emer Costello 's ( Labour ) second preferences - a predicted even split would just allow Fitzpatrick snatch the seat . 
Mary Fitzpatrick of Fianna Fail,snatch.01,the third seat,,Affirmative,The poll suggests the result will be determined by the division of Emer Costello 's ( Labour ) second preferences - a predicted even split would just allow Fitzpatrick snatch the seat . 
Midlands-North West,leave.01,Pat,,Affirmative,"That will leave Fianna Fáil 's Pat the Cope Gallagher and Independents Luke Ming Flanagan , and Marian Harkin fighting for the two remaining seats - on the basis , however , of a rough division of second preferences expressed in the poll , Harkin appears set to lose her seat . "
"Marian Harkin fighting for the two remaining seats -- on the basis , however",lose.02,her seat,,Affirmative,"That will leave Fianna Fáil 's Pat the Cope Gallagher and Independents Luke Ming Flanagan , and Marian Harkin fighting for the two remaining seats - on the basis , however , of a rough division of second preferences expressed in the poll , Harkin appears set to lose her seat . "
topping performance of,provide.01,The Socialist Party,,Affirmative,"The dizzying , quota - topping performance of Brian Crowley ( Fianna Fáil ) in South , with close to a third of the votes , will not provide his party with a second seat although an efficient vote management strategy might well have done so . "
management strategy,do.02,so,,Affirmative,"The dizzying , quota - topping performance of Brian Crowley ( Fianna Fáil ) in South , with close to a third of the votes , will not provide his party with a second seat although an efficient vote management strategy might well have done so . "
by,join.01,Brian Crowley -LRB- Fianna Fail -RRB- in South,,Affirmative,"He will be joined in Europe by Liadh Ní Riada of Sinn Féin , with Fine Gael 's combined 28 per cent ensuring that at least one of the party 's candidates will be elected , almost certainly Sean Kelly , its leader in the field . "
combined 28 per cent,ensure.01,"will be elected ,",,Affirmative,"He will be joined in Europe by Liadh Ní Riada of Sinn Féin , with Fine Gael 's combined 28 per cent ensuring that at least one of the party 's candidates will be elected , almost certainly Sean Kelly , its leader in the field . "
second preferences,put.01,Grace O'Sullivan,over,Affirmative,"The final seat also appears likely to go to Fine Gael 's Deirdre Clune by a whisker , as Phil Prendergast 's ( Labour ) second preferences appear insufficient to put the Greens ' Grace O'Sullivan over the line . "
33 per cent,get.01,"a remarkable vote management coup for Fine Gael whose 28 per cent could secure it two seats , while Fianna Fail 's 33 per cent gets it only one",only one,Affirmative,"If so it 's a remarkable vote management coup for Fine Gael whose 28 per cent could secure it two seats , while Fianna Fáil 's 33 per cent gets it only one . "
Party managers,note.01,spread,,Affirmative,Party managers will also note another significant challenge in the breakdown manifest in the poll in new more unpredictable transfer patterns as voters in the huge constituencies spread their favours around . 
We,reserve.01,the right,,Affirmative,"We reserve the right to remove any content at any time from this Community , including without limitation if it violates the Community Standards . "
We,remove.01,any content,from,Affirmative,"We reserve the right to remove any content at any time from this Community , including without limitation if it violates the Community Standards . "
the right,violate.01,the Community Standards,,Affirmative,"We reserve the right to remove any content at any time from this Community , including without limitation if it violates the Community Standards . "
We,ask.02,that you report content,,Affirmative,We ask that you report content that you in good faith believe violates the above rules by clicking the Flag link next to the offending comment or by filling out this form . 
you,report.01,content,,Affirmative,We ask that you report content that you in good faith believe violates the above rules by clicking the Flag link next to the offending comment or by filling out this form . 
you in,believe.01,violates,,Affirmative,We ask that you report content that you in good faith believe violates the above rules by clicking the Flag link next to the offending comment or by filling out this form . 
